Ticker,rows,start,end,missing_price_fraction,duplicate_timestamps,non_positive_prices,extreme_return_flags
AAVE/USDT,49298,2020-10-15 03:00:00,2026-05-31 23:00:00,0.0,0,0,0
ADA/USDT,71117,2018-04-17 04:00:00,2026-05-31 23:00:00,0.0,0,0,0
ATOM/USDT,62103,2019-04-29 04:00:00,2026-05-31 23:00:00,0.0,0,0,0
AVAX/USDT,49847,2020-09-22 06:00:00,2026-05-31 23:00:00,0.0,0,0,0
BCH/USDT,57007,2019-11-28 10:00:00,2026-05-31 23:00:00,0.0,0,0,0
BNB/USDT,74973,2017-11-06 03:00:00,2026-05-31 23:00:00,0.0,0,0,0
BTC/USDT,76909,2017-08-17 04:00:00,2026-05-31 23:00:00,0.0,0,0,0
DOGE/USDT,60497,2019-07-05 12:00:00,2026-05-31 23:00:00,0.0,0,0,0
DOT/USDT,50670,2020-08-18 23:00:00,2026-05-31 23:00:00,0.0,0,0,0
ETC/USDT,69785,2018-06-12 02:00:00,2026-05-31 23:00:00,0.0,0,0,0
ETH/USDT,76909,2017-08-17 04:00:00,2026-05-31 23:00:00,0.0,0,0,0
FIL/USDT,49284,2020-10-15 17:00:00,2026-05-31 23:00:00,0.0,0,0,0
LINK/USDT,64563,2019-01-16 10:00:00,2026-05-31 23:00:00,0.0,0,0,0
LTC/USDT,74085,2017-12-13 03:00:00,2026-05-31 23:00:00,0.0,0,0,0
POL/USDT,15014,2024-09-13 10:00:00,2026-05-31 23:00:00,0.0,0,0,0
SOL/USDT,50855,2020-08-11 06:00:00,2026-05-31 23:00:00,0.0,0,0,0
TRX/USDT,69790,2018-06-11 11:00:00,2026-05-31 23:00:00,0.0,0,0,0
UNI/USDT,49970,2020-09-17 03:00:00,2026-05-31 23:00:00,0.0,0,0,0
XLM/USDT,70056,2018-05-31 09:00:00,2026-05-31 23:00:00,0.0,0,0,0
XRP/USDT,70705,2018-05-04 08:00:00,2026-05-31 23:00:00,0.0,0,0,0
