ticker,stooq_symbol,status,reason
SPY,spy.us,failed,Automated Stooq access failed (RemoteDataError); direct CSV access is unavailable or challenged (Stooq direct endpoint did not provide a CSV (HTTP 404; content type text/html).). Download the daily CSV manually from Stooq and place it at data/external/stooq_manual/spy.us.csv.
QQQ,qqq.us,failed,Automated Stooq access failed (RemoteDataError); direct CSV access is unavailable or challenged (Stooq direct endpoint did not provide a CSV (HTTP 404; content type text/html).). Download the daily CSV manually from Stooq and place it at data/external/stooq_manual/qqq.us.csv.
IWM,iwm.us,failed,Automated Stooq access failed (RemoteDataError); direct CSV access is unavailable or challenged (Stooq direct endpoint did not provide a CSV (HTTP 404; content type text/html).). Download the daily CSV manually from Stooq and place it at data/external/stooq_manual/iwm.us.csv.
DIA,dia.us,failed,Automated Stooq access failed (RemoteDataError); direct CSV access is unavailable or challenged (Stooq direct endpoint did not provide a CSV (HTTP 404; content type text/html).). Download the daily CSV manually from Stooq and place it at data/external/stooq_manual/dia.us.csv.
VTI,vti.us,failed,Automated Stooq access failed (RemoteDataError); direct CSV access is unavailable or challenged (Stooq direct endpoint did not provide a CSV (HTTP 404; content type text/html).). Download the daily CSV manually from Stooq and place it at data/external/stooq_manual/vti.us.csv.
VT,vt.us,failed,Automated Stooq access failed (RemoteDataError); direct CSV access is unavailable or challenged (Stooq direct endpoint did not provide a CSV (HTTP 404; content type text/html).). Download the daily CSV manually from Stooq and place it at data/external/stooq_manual/vt.us.csv.
XLK,xlk.us,failed,Automated Stooq access failed (RemoteDataError); direct CSV access is unavailable or challenged (Stooq direct endpoint did not provide a CSV (HTTP 404; content type text/html).). Download the daily CSV manually from Stooq and place it at data/external/stooq_manual/xlk.us.csv.
XLF,xlf.us,failed,Automated Stooq access failed (RemoteDataError); direct CSV access is unavailable or challenged (Stooq direct endpoint did not provide a CSV (HTTP 404; content type text/html).). Download the daily CSV manually from Stooq and place it at data/external/stooq_manual/xlf.us.csv.
XLV,xlv.us,failed,Automated Stooq access failed (RemoteDataError); direct CSV access is unavailable or challenged (Stooq direct endpoint did not provide a CSV (HTTP 404; content type text/html).). Download the daily CSV manually from Stooq and place it at data/external/stooq_manual/xlv.us.csv.
XLE,xle.us,failed,Automated Stooq access failed (RemoteDataError); direct CSV access is unavailable or challenged (Stooq direct endpoint did not provide a CSV (HTTP 404; content type text/html).). Download the daily CSV manually from Stooq and place it at data/external/stooq_manual/xle.us.csv.
XLY,xly.us,failed,Automated Stooq access failed (RemoteDataError); direct CSV access is unavailable or challenged (Stooq direct endpoint did not provide a CSV (HTTP 404; content type text/html).). Download the daily CSV manually from Stooq and place it at data/external/stooq_manual/xly.us.csv.
XLP,xlp.us,failed,Automated Stooq access failed (RemoteDataError); direct CSV access is unavailable or challenged (Stooq direct endpoint did not provide a CSV (HTTP 404; content type text/html).). Download the daily CSV manually from Stooq and place it at data/external/stooq_manual/xlp.us.csv.
XLI,xli.us,failed,Automated Stooq access failed (RemoteDataError); direct CSV access is unavailable or challenged (Stooq direct endpoint did not provide a CSV (HTTP 404; content type text/html).). Download the daily CSV manually from Stooq and place it at data/external/stooq_manual/xli.us.csv.
XLB,xlb.us,failed,Automated Stooq access failed (RemoteDataError); direct CSV access is unavailable or challenged (Stooq direct endpoint did not provide a CSV (HTTP 404; content type text/html).). Download the daily CSV manually from Stooq and place it at data/external/stooq_manual/xlb.us.csv.
XLU,xlu.us,failed,Automated Stooq access failed (RemoteDataError); direct CSV access is unavailable or challenged (Stooq direct endpoint did not provide a CSV (HTTP 404; content type text/html).). Download the daily CSV manually from Stooq and place it at data/external/stooq_manual/xlu.us.csv.
XLRE,xlre.us,failed,Automated Stooq access failed (RemoteDataError); direct CSV access is unavailable or challenged (Stooq direct endpoint did not provide a CSV (HTTP 404; content type text/html).). Download the daily CSV manually from Stooq and place it at data/external/stooq_manual/xlre.us.csv.
XLC,xlc.us,failed,Automated Stooq access failed (RemoteDataError); direct CSV access is unavailable or challenged (Stooq direct endpoint did not provide a CSV (HTTP 404; content type text/html).). Download the daily CSV manually from Stooq and place it at data/external/stooq_manual/xlc.us.csv.
MTUM,mtum.us,failed,Automated Stooq access failed (RemoteDataError); direct CSV access is unavailable or challenged (Stooq direct endpoint did not provide a CSV (HTTP 404; content type text/html).). Download the daily CSV manually from Stooq and place it at data/external/stooq_manual/mtum.us.csv.
VLUE,vlue.us,failed,Automated Stooq access failed (RemoteDataError); direct CSV access is unavailable or challenged (Stooq direct endpoint did not provide a CSV (HTTP 404; content type text/html).). Download the daily CSV manually from Stooq and place it at data/external/stooq_manual/vlue.us.csv.
QUAL,qual.us,failed,Automated Stooq access failed (RemoteDataError); direct CSV access is unavailable or challenged (Stooq direct endpoint did not provide a CSV (HTTP 404; content type text/html).). Download the daily CSV manually from Stooq and place it at data/external/stooq_manual/qual.us.csv.
