phase,track,target,lookback,asset,split,exclusion_category,count,note
Phase 2B Layer 1 screening,crypto_hourly,target_direction_4h,168,,test,asset_segment_below_lookback,15010,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 1 screening,crypto_hourly,target_log_realized_vol_4h,168,,test,asset_segment_below_lookback,15010,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 1 screening,crypto_hourly,target_stress_24h,168,,test,asset_segment_below_lookback,14990,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 1 screening,crypto_hourly,target_direction_4h,168,,train,asset_segment_below_lookback,0,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 1 screening,crypto_hourly,target_log_realized_vol_4h,168,,train,asset_segment_below_lookback,0,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 1 screening,crypto_hourly,target_stress_24h,168,,train,asset_segment_below_lookback,0,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 1 screening,crypto_hourly,target_direction_4h,168,,validation,asset_segment_below_lookback,0,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 1 screening,crypto_hourly,target_log_realized_vol_4h,168,,validation,asset_segment_below_lookback,0,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 1 screening,crypto_hourly,target_stress_24h,168,,validation,asset_segment_below_lookback,0,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 1 screening,crypto_hourly,target_direction_4h,168,,all,embargo_dates,2,Configured post-boundary embargo before validation and test segments.
Phase 2B Layer 1 screening,crypto_hourly,target_log_realized_vol_4h,168,,all,embargo_dates,2,Configured post-boundary embargo before validation and test segments.
Phase 2B Layer 1 screening,crypto_hourly,target_stress_24h,168,,all,embargo_dates,2,Configured post-boundary embargo before validation and test segments.
Phase 2B Layer 1 screening,crypto_hourly,target_direction_4h,168,,all,feature_imputation_cases,5098,"Audit count only; this is retained, not an exclusion."
Phase 2B Layer 1 screening,crypto_hourly,target_log_realized_vol_4h,168,,all,feature_imputation_cases,5098,"Audit count only; this is retained, not an exclusion."
Phase 2B Layer 1 screening,crypto_hourly,target_stress_24h,168,,all,feature_imputation_cases,5098,"Audit count only; this is retained, not an exclusion."
Phase 2B Layer 1 screening,crypto_hourly,target_direction_4h,168,,all,feature_missingness_removed,0,Features are train-only median-imputed; missing feature rows are not dropped.
Phase 2B Layer 1 screening,crypto_hourly,target_log_realized_vol_4h,168,,all,feature_missingness_removed,0,Features are train-only median-imputed; missing feature rows are not dropped.
Phase 2B Layer 1 screening,crypto_hourly,target_stress_24h,168,,all,feature_missingness_removed,0,Features are train-only median-imputed; missing feature rows are not dropped.
Phase 2B Layer 1 screening,crypto_hourly,target_direction_4h,168,,all,future_target_horizon_tail,80,At most the final target-horizon observed rows per asset cannot have a complete future label.
Phase 2B Layer 1 screening,crypto_hourly,target_log_realized_vol_4h,168,,all,future_target_horizon_tail,80,At most the final target-horizon observed rows per asset cannot have a complete future label.
Phase 2B Layer 1 screening,crypto_hourly,target_stress_24h,168,,all,future_target_horizon_tail,480,At most the final target-horizon observed rows per asset cannot have a complete future label.
Phase 2B Layer 1 screening,crypto_hourly,target_direction_4h,168,,test,intentional_sampling_cap,284715,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 1 screening,crypto_hourly,target_log_realized_vol_4h,168,,test,intentional_sampling_cap,284715,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 1 screening,crypto_hourly,target_stress_24h,168,,test,intentional_sampling_cap,284639,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 1 screening,crypto_hourly,target_direction_4h,168,,train,intentional_sampling_cap,607124,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 1 screening,crypto_hourly,target_log_realized_vol_4h,168,,train,intentional_sampling_cap,607124,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 1 screening,crypto_hourly,target_stress_24h,168,,train,intentional_sampling_cap,606516,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 1 screening,crypto_hourly,target_direction_4h,168,,validation,intentional_sampling_cap,284639,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 1 screening,crypto_hourly,target_log_realized_vol_4h,168,,validation,intentional_sampling_cap,284639,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 1 screening,crypto_hourly,target_stress_24h,168,,validation,intentional_sampling_cap,284183,Deterministic per-asset cap; zero for full-eligible stages.
