metric_id,module,model,variant,split,metric,value,ci_lower,ci_upper,score_basis,source_file,evidence_class,authoritative_use,notes
M001,phase6,transformer_encoder,asset_conditioned,test,roc_auc,0.789813558,,,raw ensemble probability,results/runs/phase6_transformer_falsification_20260712/predictions,historical held-out but adaptive,ranking,
M002,phase6,transformer_encoder,asset_conditioned,test,pr_auc,0.421056342,,,raw ensemble probability,results/runs/phase6_transformer_falsification_20260712/predictions,historical held-out but adaptive,ranking,
M003,phase6,transformer_encoder,asset_conditioned,test,pair_weighted_within_asset_roc_auc,0.491638470,,,raw ensemble probability,results/runs/phase6_transformer_falsification_20260712/predictions,historical held-out but adaptive,primary shortcut diagnostic,
M004,phase6,transformer_encoder,asset_conditioned,test,per_asset_macro_roc_auc,0.538742925,,,raw ensemble probability,results/runs/phase6_transformer_falsification_20260712/predictions,historical held-out but adaptive,supporting grouped diagnostic,
M005,phase6,transformer_encoder,asset_conditioned,test,brier_score,0.110919547,,,validation-selected isotonic probability,results/runs/phase6_transformer_falsification_20260712/predictions,historical held-out but adaptive,proper score,
M006,phase6,transformer_encoder,asset_conditioned,test,log_loss,0.360548087,,,validation-selected isotonic probability,results/runs/phase6_transformer_falsification_20260712/predictions,historical held-out but adaptive,proper score,
M007,phase6,transformer_encoder,no_explicit_asset_id,test,roc_auc,0.715476655,,,raw ensemble probability,results/runs/phase6_transformer_falsification_20260712/predictions,post-hoc robustness,identity ablation ranking,
M008,phase6,transformer_encoder,no_explicit_asset_id,test,pair_weighted_within_asset_roc_auc,0.472570086,,,raw ensemble probability,results/runs/phase6_transformer_falsification_20260712/predictions,post-hoc robustness,identity ablation grouped diagnostic,
M009,phase6,static_asset_prior,training_only,test,roc_auc,0.823905856,,,training-only static probability,reports/tables/ifddrp_identity_dynamic_information_decomposition.csv,post-hoc robustness,strongest static comparator,
M010,phase6,static_family_prior,training_only,test,roc_auc,0.816548772,,,training-only static probability,reports/tables/ifddrp_identity_dynamic_information_decomposition.csv,post-hoc robustness,static comparator,
M011,fixed_cross_model,mlp,asset_conditioned,test,roc_auc,0.796477661,,,raw ensemble ranking score,reports/tables/prp1_fixed_cross_model_results.csv,historical held-out but adaptive,cross-model pooled comparison,within_asset_auc=0.556967
M012,fixed_cross_model,lstm,asset_conditioned,test,roc_auc,0.692869596,,,raw ensemble ranking score,reports/tables/prp1_fixed_cross_model_results.csv,historical held-out but adaptive,cross-model pooled comparison,within_asset_auc=0.518344
M013,fixed_cross_model,tcn,asset_conditioned,test,roc_auc,0.775881237,,,raw ensemble ranking score,reports/tables/prp1_fixed_cross_model_results.csv,historical held-out but adaptive,cross-model pooled comparison,within_asset_auc=0.547453
M014,fixed_cross_model,transformer_encoder,asset_conditioned,test,roc_auc,0.789813558,,,raw ensemble ranking score,reports/tables/prp1_fixed_cross_model_results.csv,historical held-out but adaptive,cross-model pooled comparison,within_asset_auc=0.491638
M015,fixed_cross_model,flattened_logistic,asset_conditioned,test,roc_auc,0.576219972,,,raw ensemble ranking score,reports/tables/prp1_fixed_cross_model_results.csv,historical held-out but adaptive,cross-model pooled comparison,within_asset_auc=0.512171
M020,independent_simulation,registered_simulation,static_prior_auc_increase,simulation,static_prior_auc_increase,0.400020725,0.391244311,0.408797139,20-seed clustered simulation estimate,reports/tables/prp1_study_a_independent_simulation_gate_inference.csv,simulation,mechanism evidence,Mechanism sufficiency only; not empirical market confirmation.
M021,independent_simulation,registered_simulation,no_signal_within_auc,simulation,no_signal_within_auc,0.500086205,0.497031681,0.503140729,20-seed clustered simulation estimate,reports/tables/prp1_study_a_independent_simulation_gate_inference.csv,simulation,mechanism evidence,Mechanism sufficiency only; not empirical market confirmation.
M022,independent_simulation,registered_simulation,strong_signal_within_auc,simulation,strong_signal_within_auc,0.783996900,0.781141835,0.786851965,20-seed clustered simulation estimate,reports/tables/prp1_study_a_independent_simulation_gate_inference.csv,simulation,mechanism evidence,Mechanism sufficiency only; not empirical market confirmation.
M023,independent_simulation,registered_simulation,strong_signal_reversal_drop,simulation,strong_signal_reversal_drop,0.380990702,0.373046757,0.388934647,20-seed clustered simulation estimate,reports/tables/prp1_study_a_independent_simulation_gate_inference.csv,simulation,mechanism evidence,Mechanism sufficiency only; not empirical market confirmation.
M024,independent_simulation,registered_simulation,strong_signal_permutation_drop,simulation,strong_signal_permutation_drop,0.102297401,0.097162435,0.107432366,20-seed clustered simulation estimate,reports/tables/prp1_study_a_independent_simulation_gate_inference.csv,simulation,mechanism evidence,Mechanism sufficiency only; not empirical market confirmation.
M030,experiment_a,mlp,family_prior_dynamic_residual_validation_selected,test,pair_weighted_within_asset_roc_auc,0.525360000,0.443706000,0.602033000,raw ensemble score,reports/tables/ifddrp_static_dynamic_results.csv,valid negative,bounded recovery test,Validation selection passed point estimate but failed paired-lift and chronology gates.
M031,experiment_b,transformer_encoder,bce_plus_within_asset_pairwise_validation_selected,test,pair_weighted_within_asset_roc_auc,0.561924000,0.492527000,0.625022000,raw ensemble score,reports/tables/ifddrp_within_asset_objective_results.csv,valid negative,bounded recovery test,Descriptive lift did not pass paired-lift or chronology gates.
M032,experiment_c,transformer_encoder,no_id_temporal_validation_selected,test,equal_asset_mae,0.037816000,0.035374000,0.040008000,original target units,reports/tables/ifddrp_continuous_downside_results.csv,valid negative,bounded recovery test,Training asset mean equal-asset MAE was 0.020896.
M033,experiment_c,ridge,sequence_summary,test,equal_asset_mae,0.020691000,,,original target units,reports/tables/ifddrp_continuous_downside_results.csv,supporting evidence,strong simple continuous comparator,
