asset_ticker,price_source,observed_rows,target_rows
ADA-USD,Adj Close,3149,3139
AGG,Adj Close,4142,4132
AVAX-USD,Adj Close,2103,2093
BCH-USD,Adj Close,3149,3139
BND,Adj Close,4142,4132
BTC-USD,Adj Close,4298,4288
CPER,Adj Close,3670,3660
DBA,Adj Close,4142,4132
DIA,Adj Close,4142,4132
DOGE-USD,Adj Close,3149,3139
DOT-USD,Adj Close,2134,2124
EEM,Adj Close,4142,4132
EFA,Adj Close,4142,4132
EMB,Adj Close,4142,4132
ETH-USD,Adj Close,3149,3139
EWA,Adj Close,4142,4132
EWC,Adj Close,4142,4132
EWJ,Adj Close,4142,4132
EWU,Adj Close,4142,4132
EWZ,Adj Close,4142,4132
FXA,Adj Close,4142,4132
FXB,Adj Close,4142,4132
FXC,Adj Close,4142,4132
FXE,Adj Close,4142,4132
FXI,Adj Close,4142,4132
FXY,Adj Close,4142,4132
GLD,Adj Close,4142,4132
HYG,Adj Close,4142,4132
IEF,Adj Close,4142,4132
IFRA,Adj Close,2065,2055
INDA,Adj Close,3616,3606
IWD,Adj Close,4142,4132
IWF,Adj Close,4142,4132
IWM,Adj Close,4142,4132
IYR,Adj Close,4142,4132
JNK,Adj Close,4142,4132
LINK-USD,Adj Close,3149,3139
LQD,Adj Close,4142,4132
LTC-USD,Adj Close,4298,4288
MTUM,Adj Close,3315,3305
MUB,Adj Close,4142,4132
PALL,Adj Close,4138,4128
PPLT,Adj Close,4138,4128
QQQ,Adj Close,4142,4132
QUAL,Adj Close,3252,3242
SHY,Adj Close,4142,4132
SIZE,Adj Close,3315,3305
SLV,Adj Close,4142,4132
SOL-USD,Adj Close,2266,2256
SPY,Adj Close,4142,4132
TIP,Adj Close,4142,4132
TLT,Adj Close,4142,4132
UNG,Adj Close,4142,4132
UNI-USD,Adj Close,2006,1996
USMV,Adj Close,3688,3678
USO,Adj Close,4142,4132
UUP,Adj Close,4142,4132
VEA,Adj Close,4142,4132
VGK,Adj Close,4142,4132
VLUE,Adj Close,3315,3305
VNQ,Adj Close,4142,4132
VT,Adj Close,4142,4132
VTI,Adj Close,4142,4132
VTV,Adj Close,4142,4132
VUG,Adj Close,4142,4132
VWO,Adj Close,4142,4132
XBI,Adj Close,4142,4132
XLB,Adj Close,4142,4132
XLC,Adj Close,2013,2003
XLE,Adj Close,4142,4132
XLF,Adj Close,4142,4132
XLI,Adj Close,4142,4132
XLK,Adj Close,4142,4132
XLM-USD,Adj Close,3149,3139
XLP,Adj Close,4142,4132
XLRE,Adj Close,2691,2681
XLU,Adj Close,4142,4132
XLV,Adj Close,4142,4132
XLY,Adj Close,4142,4132
XRP-USD,Adj Close,3149,3139
