analysis,cell,split,group,n_obs,base_equal_asset_mae,changed_equal_asset_mae,equal_asset_mae_deterioration,base_spearman,changed_spearman,prediction_spearman,paired_difference_estimate,paired_difference_ci_lower,paired_difference_ci_upper,n_assets,n_dates,mae,equal_asset_mae,rmse,spearman,tail_threshold_training_q90,tail_n,tail_mae,top_decile_actual_mean,overall_actual_mean,top_decile_risk_enrichment,prediction_min,prediction_max
temporal_order,continuous_downside__mlp__asset_intercept_dynamic_residual,validation,reverse,20494.0,0.0439246672297726,0.033290094516294375,-0.010634572713478223,0.27981011773586517,0.2592032444673242,0.18833098370911042,,,,,,,,,,,,,,,,,
temporal_order,continuous_downside__mlp__asset_intercept_dynamic_residual,test,reverse,21514.0,0.06356058706532765,0.04955048623789847,-0.014010100827429178,0.27645154936713195,0.2381077650641575,0.005073778379221184,-0.014010100827429178,-0.032135252025837585,0.0037154653318442737,,,,,,,,,,,,,,
temporal_order,continuous_downside__mlp__asset_intercept_dynamic_residual,validation,deterministic_permutation,20494.0,0.0439246672297726,0.035315361675864396,-0.008609305553908202,0.27981011773586517,0.26587758067482087,0.46062223368817473,,,,,,,,,,,,,,,,,
temporal_order,continuous_downside__mlp__asset_intercept_dynamic_residual,test,deterministic_permutation,21514.0,0.06356058706532765,0.051141262577984604,-0.012419324487343043,0.27645154936713195,0.2899128305654272,0.2844501723300424,-0.012419324487343043,-0.026020980903811247,0.00034077551128508635,,,,,,,,,,,,,,
temporal_order,continuous_downside__mlp__asset_intercept_dynamic_residual,validation,circular_shift,20494.0,0.0439246672297726,0.03638292816717013,-0.0075417390626024705,0.27981011773586517,0.2721486025740248,0.3534717712759052,,,,,,,,,,,,,,,,,
temporal_order,continuous_downside__mlp__asset_intercept_dynamic_residual,test,circular_shift,21514.0,0.06356058706532765,0.051311755765003506,-0.012248831300324142,0.27645154936713195,0.24579164769360207,0.21973566966747976,-0.012248831300324142,-0.026959981529266784,0.002771890965974756,,,,,,,,,,,,,,
temporal_order,continuous_downside__mlp__no_id_temporal,validation,reverse,20494.0,0.5944659833374207,0.6036345840445478,0.009168600707127106,-0.14303985424191712,-0.11257737540851276,0.9293948532090124,,,,,,,,,,,,,,,,,
temporal_order,continuous_downside__mlp__no_id_temporal,test,reverse,21514.0,0.7135938596992653,0.7152623292708915,0.001668469571626252,-0.15721639396842949,-0.1720024801486163,0.8912168924519893,0.001668469571626252,-0.012756489652258757,0.014469111666104673,,,,,,,,,,,,,,
temporal_order,continuous_downside__mlp__no_id_temporal,validation,deterministic_permutation,20494.0,0.5944659833374207,0.6021694200053914,0.007703436667970687,-0.14303985424191712,-0.13593170480298158,0.9401519584389417,,,,,,,,,,,,,,,,,
temporal_order,continuous_downside__mlp__no_id_temporal,test,deterministic_permutation,21514.0,0.7135938596992653,0.7144357496734037,0.0008418899741384767,-0.15721639396842949,-0.16707547047396615,0.8840187789910486,0.0008418899741384767,-0.01339240488983653,0.014723909588633722,,,,,,,,,,,,,,
temporal_order,continuous_downside__mlp__no_id_temporal,validation,circular_shift,20494.0,0.5944659833374207,0.5997158343673038,0.005249851029883068,-0.14303985424191712,-0.12933450827183438,0.9139529331536584,,,,,,,,,,,,,,,,,
temporal_order,continuous_downside__mlp__no_id_temporal,test,circular_shift,21514.0,0.7135938596992653,0.7121049869889866,-0.0014888727102786437,-0.15721639396842949,-0.14714366810885834,0.8375881924844308,-0.0014888727102786437,-0.024142123950070687,0.01877731663227471,,,,,,,,,,,,,,
temporal_order,continuous_downside__transformer_encoder__asset_intercept_dynamic_residual,validation,reverse,20494.0,0.03703865805805953,0.03666747395540272,-0.00037118410265681023,0.43457377089171745,0.41784789159732216,0.9713108999935082,,,,,,,,,,,,,,,,,
temporal_order,continuous_downside__transformer_encoder__asset_intercept_dynamic_residual,test,reverse,21514.0,0.03941765812961285,0.03894901758354738,-0.00046864054606546995,0.4579965610715272,0.44535864766645344,0.978909824438358,-0.00046864054606546995,-0.0011653109513207866,0.00021274319736105368,,,,,,,,,,,,,,
temporal_order,continuous_downside__transformer_encoder__asset_intercept_dynamic_residual,validation,deterministic_permutation,20494.0,0.03703865805805953,0.03689132661266375,-0.0001473314453957833,0.43457377089171745,0.4267033360102816,0.9778412699917461,,,,,,,,,,,,,,,,,
temporal_order,continuous_downside__transformer_encoder__asset_intercept_dynamic_residual,test,deterministic_permutation,21514.0,0.03941765812961285,0.03919404228782823,-0.00022361584178461763,0.4579965610715272,0.45521498296088464,0.9888197019844652,-0.00022361584178461763,-0.0006039284755660224,0.00013693473064192737,,,,,,,,,,,,,,
temporal_order,continuous_downside__transformer_encoder__asset_intercept_dynamic_residual,validation,circular_shift,20494.0,0.03703865805805953,0.036685198300685694,-0.00035345975737383767,0.43457377089171745,0.41545628217051145,0.97970375673445,,,,,,,,,,,,,,,,,
