regime_type,regime,rows,assets,dates,positives,prevalence,pooled_roc_auc,pair_weighted_within_asset_roc_auc,within_asset_ci_lower,within_asset_ci_upper,static_asset_prior_pooled_roc_auc,static_asset_prior_within_asset_roc_auc,reverse_within_asset_roc_auc,reverse_within_asset_auc_drop,deterministic_permutation_within_asset_roc_auc,deterministic_permutation_within_asset_auc_drop,circular_shift_within_asset_roc_auc,circular_shift_within_asset_auc_drop
volatility,high,8054,78,346,1155,0.14340700273156196,0.765645375545361,0.5399527208091599,0.4576038402344436,0.6172410074177491,0.8480741609455916,0.5,0.5443783778906623,-0.004425657081502443,0.5558914022250092,-0.01593868141584931,0.5386489339625196,0.0013037868466403424
volatility,low,13460,79,392,2316,0.17206537890044576,0.7963575355806916,0.46964090297343364,0.40142878661533204,0.540480833772357,0.8126411495548307,0.5,0.4832518602355094,-0.013610957262075785,0.4709573155885194,-0.0013164126150857491,0.48138025327564665,-0.011739350302213014
broad_trend,negative,5012,79,172,1181,0.235634477254589,0.7593812763694544,0.4836902695391955,0.40525325745251284,0.5500163545257652,0.7919447415365226,0.5,0.48976049243352043,-0.006070222894324906,0.48907892354714005,-0.005388654007944527,0.4696435607714508,0.01404670876774472
broad_trend,positive,16502,79,225,2290,0.13877105805356926,0.7881573263015325,0.5066942119160879,0.4467549318983674,0.5604401050289622,0.8243417058221295,0.5,0.5203317151313284,-0.013637503215240487,0.5129993390442514,-0.006305127128163557,0.5228159970826781,-0.01612178516659024
current_stress,non_stress,20955,79,397,3357,0.16020042949176808,0.7929600704415628,0.48928023581978775,0.42987300254720767,0.5499455045603506,0.8258590651448022,0.5,0.5032159292540637,-0.01393569343427592,0.49613352303885405,-0.006853287219066306,0.49829775854012887,-0.00901752272034112
current_stress,stress,559,38,190,114,0.2039355992844365,0.6416913069189828,0.492348797668205,0.41087228811750043,0.6917890686969368,0.7501774098166765,0.5,0.5010930289045421,-0.008744231236337108,0.49404906485304834,-0.0017002671848433404,0.5176099101287345,-0.025261112460529478
asset_family,Bonds,2750,11,250,120,0.04363636363636364,0.6042807351077313,0.5670811518324608,0.43693713074832474,0.6647021406521751,0.7186311787072244,0.5,0.5803883071553229,-0.013307155322862085,0.553737638161722,0.013343513670738827,0.5587187318208261,0.008362420011634675
asset_family,Commodities,2000,8,250,520,0.26,0.5927091995841995,0.5615002450652765,0.47686867049882475,0.6457728948575174,0.6380587318087318,0.5,0.5630597513701376,-0.0015595063048611246,0.5662010426413581,-0.00470079757608155,0.5701889230495032,-0.008688677984226678
asset_family,Crypto,4764,12,397,2286,0.47984886649874053,0.5000742315402664,0.463218117792673,0.39040786474299805,0.5314417002611659,0.557888597258676,0.5,0.4805364038107856,-0.017318286018112583,0.47020971523704097,-0.006991597444367947,0.4761444559693882,-0.01292633817671518
asset_family,Equities,9750,39,250,487,0.04994871794871795,0.5021461596455483,0.5453700342632516,0.44185563496098357,0.6483830668101354,0.5991170409043863,0.5,0.5559588840981328,-0.010588849834881175,0.556454683087057,-0.011084648823805443,0.5464590213282101,-0.0010889870649585243
asset_family,FX,1500,6,250,48,0.032,0.45692722681359044,0.3458731537793223,0.2426553587801408,0.48857953600973314,0.5089675160697887,0.5,0.40573414422241527,-0.059860990443092954,0.35986099044309294,-0.013987836663770625,0.3805386620330148,-0.03466550825369247
asset_family,Real assets,750,3,250,10,0.013333333333333334,0.6608108108108108,0.6155410903173312,0.07887704664813099,0.8662985274431059,0.6351351351351351,0.5,0.6220504475183075,-0.00650935720097634,0.6419853539462979,-0.02644426362896668,0.5040683482506102,0.11147274206672098
subperiod,early,5922,79,125,749,0.12647754137115838,0.8495604810538028,0.5436743652215935,0.444799197675153,0.6336160044493536,0.8618389826812063,0.5,0.5341602400177194,0.009514125203874069,0.5448523045325494,-0.0011779393109558889,0.5564303404949359,-0.01275597527334238
subperiod,late,15592,79,272,2722,0.1745767060030785,0.7678283713184522,0.4720485810693892,0.3888691547679917,0.5461875722298639,0.8170490869241788,0.5,0.498093852742689,-0.02604527167329984,0.4834016482090327,-0.011353067139643513,0.4819321573801696,-0.009883576310780406
