variant,seed,group,feature_names,method,n_obs,mean_signed_probability_delta,mean_absolute_probability_delta,mean_absolute_logit_attribution,status
corrected_asset_conditioned,7,returns_momentum,return_close;log_return;open_close_return;overnight_gap;cum_return_5d;cum_return_20d;ma_distance_20d;ma_crossover_5_20d;rsi_14d;macd_12_26;rolling_drawdown_60d;distance_from_20d_high;distance_from_60d_high;negative_return_streak;downside_move_indicator,train_mean_scaled_zero_occlusion,144,-0.04255036264657974,0.16116127371788025,,completed
corrected_asset_conditioned,7,returns_momentum,return_close;log_return;open_close_return;overnight_gap;cum_return_5d;cum_return_20d;ma_distance_20d;ma_crossover_5_20d;rsi_14d;macd_12_26;rolling_drawdown_60d;distance_from_20d_high;distance_from_60d_high;negative_return_streak;downside_move_indicator,within_window_circular_shift,144,0.0050351908430457115,0.09618362784385681,,completed
corrected_asset_conditioned,7,volatility,volatility_5d;volatility_10d;volatility_20d;downside_volatility_20d;ewma_volatility_20d,train_mean_scaled_zero_occlusion,144,0.004399478435516357,0.030758904293179512,,completed
corrected_asset_conditioned,7,volatility,volatility_5d;volatility_10d;volatility_20d;downside_volatility_20d;ewma_volatility_20d,within_window_circular_shift,144,0.0024996204301714897,0.02353946678340435,,completed
corrected_asset_conditioned,7,range_dispersion,high_low_range;intraday_range_proxy;rolling_high_low_range_20d,train_mean_scaled_zero_occlusion,144,0.0029809388797730207,0.06379350274801254,,completed
corrected_asset_conditioned,7,range_dispersion,high_low_range;intraday_range_proxy;rolling_high_low_range_20d,within_window_circular_shift,144,0.05900241434574127,0.07724717259407043,,completed
corrected_asset_conditioned,7,volume_liquidity,volume_change;volume_zscore_20d;volume_ma_ratio_20d;price_volume_interaction,train_mean_scaled_zero_occlusion,144,-0.0316176675260067,0.09895283728837967,,completed
corrected_asset_conditioned,7,volume_liquidity,volume_change;volume_zscore_20d;volume_ma_ratio_20d;price_volume_interaction,within_window_circular_shift,144,-0.005756240803748369,0.10309232771396637,,completed
corrected_asset_conditioned,7,macro_context,DFF;DGS2;DGS10;T10Y2Y;VIXCLS;BAMLH0A0HYM2;DTWEXBGS,train_mean_scaled_zero_occlusion,144,0.042850062251091,0.10640290379524231,,provenance_limited
corrected_asset_conditioned,7,macro_context,DFF;DGS2;DGS10;T10Y2Y;VIXCLS;BAMLH0A0HYM2;DTWEXBGS,within_window_circular_shift,144,-0.008333874866366386,0.10734673589468002,,provenance_limited
corrected_asset_conditioned,7,returns_momentum,return_close;log_return;open_close_return;overnight_gap;cum_return_5d;cum_return_20d;ma_distance_20d;ma_crossover_5_20d;rsi_14d;macd_12_26;rolling_drawdown_60d;distance_from_20d_high;distance_from_60d_high;negative_return_streak;downside_move_indicator,integrated_gradients_raw_logit,48,,,0.03566141054034233,completed
corrected_asset_conditioned,7,volatility,volatility_5d;volatility_10d;volatility_20d;downside_volatility_20d;ewma_volatility_20d,integrated_gradients_raw_logit,48,,,0.01573782041668892,completed
corrected_asset_conditioned,7,range_dispersion,high_low_range;intraday_range_proxy;rolling_high_low_range_20d,integrated_gradients_raw_logit,48,,,0.039156489074230194,completed
corrected_asset_conditioned,7,volume_liquidity,volume_change;volume_zscore_20d;volume_ma_ratio_20d;price_volume_interaction,integrated_gradients_raw_logit,48,,,0.0484832227230072,completed
corrected_asset_conditioned,7,macro_context,DFF;DGS2;DGS10;T10Y2Y;VIXCLS;BAMLH0A0HYM2;DTWEXBGS,integrated_gradients_raw_logit,48,,,0.07402905076742172,completed
corrected_asset_conditioned,42,returns_momentum,return_close;log_return;open_close_return;overnight_gap;cum_return_5d;cum_return_20d;ma_distance_20d;ma_crossover_5_20d;rsi_14d;macd_12_26;rolling_drawdown_60d;distance_from_20d_high;distance_from_60d_high;negative_return_streak;downside_move_indicator,train_mean_scaled_zero_occlusion,144,0.016797900199890137,0.05700019374489784,,completed
