input_position,feature,group,source,availability,scaling,direct_model_input,provenance_limit
0,return_close,returns_momentum,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
1,log_return,returns_momentum,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
2,open_close_return,returns_momentum,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
3,high_low_range,range_dispersion,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
4,overnight_gap,returns_momentum,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
5,intraday_range_proxy,range_dispersion,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
6,volatility_5d,volatility,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
7,volatility_10d,volatility,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
8,volatility_20d,volatility,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
9,downside_volatility_20d,volatility,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
10,rolling_high_low_range_20d,range_dispersion,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
11,ewma_volatility_20d,volatility,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
12,cum_return_5d,returns_momentum,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
13,cum_return_20d,returns_momentum,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
14,ma_distance_20d,returns_momentum,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
15,ma_crossover_5_20d,returns_momentum,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
16,rsi_14d,returns_momentum,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
17,macd_12_26,returns_momentum,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
18,volume_change,volume_liquidity,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
19,volume_zscore_20d,volume_liquidity,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
20,volume_ma_ratio_20d,volume_liquidity,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
21,price_volume_interaction,volume_liquidity,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
22,rolling_drawdown_60d,returns_momentum,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
23,distance_from_20d_high,returns_momentum,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
24,distance_from_60d_high,returns_momentum,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
25,negative_return_streak,returns_momentum,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
26,downside_move_indicator,returns_momentum,engineered_technical,known_by_origin_close_t,per_asset_train_only_standardisation,True,False
27,DFF,macro_context,macro_context,known_by_origin_close_t,per_asset_train_only_standardisation,True,True
28,DGS2,macro_context,macro_context,known_by_origin_close_t,per_asset_train_only_standardisation,True,True
29,DGS10,macro_context,macro_context,known_by_origin_close_t,per_asset_train_only_standardisation,True,True
30,T10Y2Y,macro_context,macro_context,known_by_origin_close_t,per_asset_train_only_standardisation,True,True
31,VIXCLS,macro_context,macro_context,known_by_origin_close_t,per_asset_train_only_standardisation,True,True
32,BAMLH0A0HYM2,macro_context,macro_context,known_by_origin_close_t,per_asset_train_only_standardisation,True,True
33,DTWEXBGS,macro_context,macro_context,known_by_origin_close_t,per_asset_train_only_standardisation,True,True
34,asset_embedding_channel_01,asset_identity,learned_asset_id_embedding,static_identifier,learned,True,False
35,asset_embedding_channel_02,asset_identity,learned_asset_id_embedding,static_identifier,learned,True,False
36,asset_embedding_channel_03,asset_identity,learned_asset_id_embedding,static_identifier,learned,True,False
37,asset_embedding_channel_04,asset_identity,learned_asset_id_embedding,static_identifier,learned,True,False
38,asset_embedding_channel_05,asset_identity,learned_asset_id_embedding,static_identifier,learned,True,False
39,asset_embedding_channel_06,asset_identity,learned_asset_id_embedding,static_identifier,learned,True,False
40,asset_embedding_channel_07,asset_identity,learned_asset_id_embedding,static_identifier,learned,True,False
41,asset_embedding_channel_08,asset_identity,learned_asset_id_embedding,static_identifier,learned,True,False
42,asset_embedding_channel_09,asset_identity,learned_asset_id_embedding,static_identifier,learned,True,False
43,asset_embedding_channel_10,asset_identity,learned_asset_id_embedding,static_identifier,learned,True,False
44,asset_embedding_channel_11,asset_identity,learned_asset_id_embedding,static_identifier,learned,True,False
45,asset_embedding_channel_12,asset_identity,learned_asset_id_embedding,static_identifier,learned,True,False
