variant,seed,lag_block,position_start,position_stop_exclusive,method,n_obs,mean_signed_probability_delta,mean_absolute_probability_delta,mean_absolute_logit_attribution,attention_mass
corrected_asset_conditioned,7,distant_days_41_60,0,20,train_mean_scaled_zero_occlusion,144,-0.15813547372817993,0.18597130477428436,,
corrected_asset_conditioned,7,middle_days_21_40,20,40,train_mean_scaled_zero_occlusion,144,-0.07327059656381607,0.0826752558350563,,
corrected_asset_conditioned,7,recent_days_1_20,40,60,train_mean_scaled_zero_occlusion,144,-0.02980521321296692,0.055555567145347595,,
corrected_asset_conditioned,7,distant_days_41_60,0,20,integrated_gradients_raw_logit,48,,,0.0647301897406578,
corrected_asset_conditioned,7,middle_days_21_40,20,40,integrated_gradients_raw_logit,48,,,0.03173822909593582,
corrected_asset_conditioned,7,recent_days_1_20,40,60,integrated_gradients_raw_logit,48,,,0.030874162912368774,
corrected_asset_conditioned,7,distant_days_41_60,0,20,attention_pooling_diagnostic_only,144,,,,0.596196174621582
corrected_asset_conditioned,7,middle_days_21_40,20,40,attention_pooling_diagnostic_only,144,,,,0.26742398738861084
corrected_asset_conditioned,7,recent_days_1_20,40,60,attention_pooling_diagnostic_only,144,,,,0.13637980818748474
corrected_asset_conditioned,42,distant_days_41_60,0,20,train_mean_scaled_zero_occlusion,144,0.0848173201084137,0.10625512152910233,,
corrected_asset_conditioned,42,middle_days_21_40,20,40,train_mean_scaled_zero_occlusion,144,0.06252621114253998,0.09198258817195892,,
corrected_asset_conditioned,42,recent_days_1_20,40,60,train_mean_scaled_zero_occlusion,144,0.10709019750356674,0.11523905396461487,,
corrected_asset_conditioned,42,distant_days_41_60,0,20,integrated_gradients_raw_logit,48,,,0.010733618400990963,
corrected_asset_conditioned,42,middle_days_21_40,20,40,integrated_gradients_raw_logit,48,,,0.010739392600953579,
corrected_asset_conditioned,42,recent_days_1_20,40,60,integrated_gradients_raw_logit,48,,,0.011750576086342335,
corrected_asset_conditioned,42,distant_days_41_60,0,20,attention_pooling_diagnostic_only,144,,,,0.43606916069984436
corrected_asset_conditioned,42,middle_days_21_40,20,40,attention_pooling_diagnostic_only,144,,,,0.2706362009048462
corrected_asset_conditioned,42,recent_days_1_20,40,60,attention_pooling_diagnostic_only,144,,,,0.2932945787906647
corrected_asset_conditioned,123,distant_days_41_60,0,20,train_mean_scaled_zero_occlusion,144,0.08366011828184128,0.13164852559566498,,
corrected_asset_conditioned,123,middle_days_21_40,20,40,train_mean_scaled_zero_occlusion,144,0.08671829104423523,0.12527410686016083,,
corrected_asset_conditioned,123,recent_days_1_20,40,60,train_mean_scaled_zero_occlusion,144,0.11016793549060822,0.13333095610141754,,
corrected_asset_conditioned,123,distant_days_41_60,0,20,integrated_gradients_raw_logit,48,,,0.017612509429454803,
corrected_asset_conditioned,123,middle_days_21_40,20,40,integrated_gradients_raw_logit,48,,,0.015098599717020988,
corrected_asset_conditioned,123,recent_days_1_20,40,60,integrated_gradients_raw_logit,48,,,0.013452666811645031,
corrected_asset_conditioned,123,distant_days_41_60,0,20,attention_pooling_diagnostic_only,144,,,,0.27919211983680725
corrected_asset_conditioned,123,middle_days_21_40,20,40,attention_pooling_diagnostic_only,144,,,,0.3480481207370758
corrected_asset_conditioned,123,recent_days_1_20,40,60,attention_pooling_diagnostic_only,144,,,,0.37275972962379456
no_explicit_asset_id,7,distant_days_41_60,0,20,train_mean_scaled_zero_occlusion,144,-0.13750948011875153,0.18662384152412415,,
no_explicit_asset_id,7,middle_days_21_40,20,40,train_mean_scaled_zero_occlusion,144,-0.0471164733171463,0.1373792439699173,,
no_explicit_asset_id,7,recent_days_1_20,40,60,train_mean_scaled_zero_occlusion,144,0.021298134699463844,0.10793739557266235,,
no_explicit_asset_id,7,distant_days_41_60,0,20,integrated_gradients_raw_logit,48,,,0.10281717777252197,
