model_variant,representation,probe_task,split,n_obs,n_classes,accuracy,balanced_accuracy,roc_auc,pr_auc,per_asset_macro_roc_auc,pair_weighted_within_asset_roc_auc,eligible_assets,evidence_class,forecasting_interpretation
corrected_asset_conditioned,transformer_summary,asset_identity,validation,10112,79,0.1822587025316455,0.1822587025316455,,,,,,post_hoc_probe_on_opened_historical_split,identity diagnostic
corrected_asset_conditioned,transformer_summary,asset_identity,test,10112,79,0.1669303797468354,0.1669303797468354,,,,,,post_hoc_probe_on_opened_historical_split,identity diagnostic
corrected_asset_conditioned,transformer_summary,family_identity,validation,10112,6,0.2233979430379747,0.3003703653117715,,,,,,post_hoc_probe_on_opened_historical_split,identity diagnostic
corrected_asset_conditioned,transformer_summary,family_identity,test,10112,6,0.2222112341772152,0.3063864304098679,,,,,,post_hoc_probe_on_opened_historical_split,identity diagnostic
corrected_asset_conditioned,transformer_summary,stress_state,validation,10112,2,0.1847310126582278,0.5199403165222096,0.704824164733058,0.2460428725813202,0.6104656438847411,0.5878142323888922,73.0,post_hoc_probe_on_opened_historical_split,state decodability does not establish use by the trained forecasting head
corrected_asset_conditioned,transformer_summary,stress_state,test,10112,2,0.1575356012658227,0.5084432817713073,0.5791639093390687,0.1660852788773787,0.5749151840665201,0.5230415167400317,73.0,post_hoc_probe_on_opened_historical_split,state decodability does not establish use by the trained forecasting head
corrected_asset_conditioned,raw_window_mean_last,asset_identity,validation,10112,79,0.0129549050632911,0.0129549050632911,,,,,,post_hoc_probe_on_opened_historical_split,identity diagnostic
corrected_asset_conditioned,raw_window_mean_last,asset_identity,test,10112,79,0.0131526898734177,0.0131526898734177,,,,,,post_hoc_probe_on_opened_historical_split,identity diagnostic
corrected_asset_conditioned,raw_window_mean_last,family_identity,validation,10112,6,0.1066060126582278,0.1759785353535353,,,,,,post_hoc_probe_on_opened_historical_split,identity diagnostic
corrected_asset_conditioned,raw_window_mean_last,family_identity,test,10112,6,0.1031447784810126,0.1699416035353535,,,,,,post_hoc_probe_on_opened_historical_split,identity diagnostic
corrected_asset_conditioned,raw_window_mean_last,stress_state,validation,10112,2,0.1364715189873417,0.4993669139604815,0.4129896053357195,0.1199997007143539,0.5543499041320367,0.5588318200066626,73.0,post_hoc_probe_on_opened_historical_split,state decodability does not establish use by the trained forecasting head
corrected_asset_conditioned,raw_window_mean_last,stress_state,test,10112,2,0.131823575949367,0.4823899826288361,0.4086362085366862,0.1111313995876797,0.5973744603342954,0.5407039397979871,73.0,post_hoc_probe_on_opened_historical_split,state decodability does not establish use by the trained forecasting head
no_explicit_asset_id,transformer_summary,asset_identity,validation,10112,79,0.0130537974683544,0.0130537974683544,,,,,,post_hoc_probe_on_opened_historical_split,identity diagnostic
no_explicit_asset_id,transformer_summary,asset_identity,test,10112,79,0.0160205696202531,0.0160205696202531,,,,,,post_hoc_probe_on_opened_historical_split,identity diagnostic
no_explicit_asset_id,transformer_summary,family_identity,validation,10112,6,0.1957080696202531,0.2378199057886557,,,,,,post_hoc_probe_on_opened_historical_split,identity diagnostic
no_explicit_asset_id,transformer_summary,family_identity,test,10112,6,0.1770174050632911,0.2175662878787878,,,,,,post_hoc_probe_on_opened_historical_split,identity diagnostic
no_explicit_asset_id,transformer_summary,stress_state,validation,10112,2,0.3191257911392405,0.5594119471006275,0.6985668057477603,0.2585974854843753,0.5969522508135457,0.57064516404575,73.0,post_hoc_probe_on_opened_historical_split,state decodability does not establish use by the trained forecasting head
no_explicit_asset_id,transformer_summary,stress_state,test,10112,2,0.3080498417721519,0.5496088041470206,0.577674176937712,0.1590217047114578,0.5777490233475058,0.5319823193117682,73.0,post_hoc_probe_on_opened_historical_split,state decodability does not establish use by the trained forecasting head
no_explicit_asset_id,raw_window_mean_last,asset_identity,validation,10112,79,0.0129549050632911,0.0129549050632911,,,,,,post_hoc_probe_on_opened_historical_split,identity diagnostic
no_explicit_asset_id,raw_window_mean_last,asset_identity,test,10112,79,0.0131526898734177,0.0131526898734177,,,,,,post_hoc_probe_on_opened_historical_split,identity diagnostic
no_explicit_asset_id,raw_window_mean_last,family_identity,validation,10112,6,0.1066060126582278,0.1759785353535353,,,,,,post_hoc_probe_on_opened_historical_split,identity diagnostic
no_explicit_asset_id,raw_window_mean_last,family_identity,test,10112,6,0.1031447784810126,0.1699416035353535,,,,,,post_hoc_probe_on_opened_historical_split,identity diagnostic
no_explicit_asset_id,raw_window_mean_last,stress_state,validation,10112,2,0.1364715189873417,0.4993669139604815,0.4129896053357195,0.1199997007143539,0.5543499041320367,0.5588318200066626,73.0,post_hoc_probe_on_opened_historical_split,state decodability does not establish use by the trained forecasting head
no_explicit_asset_id,raw_window_mean_last,stress_state,test,10112,2,0.131823575949367,0.4823899826288361,0.4086362085366862,0.1111313995876797,0.5973744603342954,0.5407039397979871,73.0,post_hoc_probe_on_opened_historical_split,state decodability does not establish use by the trained forecasting head
