split,asset_id,endpoints,positives,negatives,prevalence,raw_comparable_pairs,outcome_disjoint_pairs,selected_pairs,unique_endpoints,minimum_origin_distance,median_origin_distance,status,asset_ticker,family,registry_sha256
train,0,2148,1131,1017,0.526536312849162,1150227,1143672,4096,2108,10.0,641.0,selected,ADA-USD,Crypto,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,1,3439,87,3352,0.025298051759232335,291624,290696,4096,2432,10.0,975.0,selected,AGG,Bonds,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,2,1102,628,474,0.5698729582577132,297672,294071,4096,1102,10.0,331.5,selected,AVAX-USD,Crypto,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,3,2148,1113,1035,0.5181564245810056,1151955,1145133,4096,2097,10.0,649.0,selected,BCH-USD,Crypto,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,4,3439,85,3354,0.02471648735097412,285090,284168,4096,2478,10.0,945.5,selected,BND,Bonds,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,5,3297,1164,2133,0.35304822565969063,2482812,2474070,4096,2965,10.0,944.0,selected,BTC-USD,Crypto,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,6,2967,355,2612,0.119649477586788,927260,923786,4096,2439,10.0,873.0,selected,CPER,Commodities,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,7,3439,137,3302,0.0398371619656877,452374,450660,4096,2492,10.0,1051.0,selected,DBA,Commodities,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,8,3439,303,3136,0.08810700785111951,950208,947132,4096,2588,10.0,1004.5,selected,DIA,Equities,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,9,2148,1129,1019,0.5256052141527002,1150451,1144165,4096,2102,10.0,632.0,selected,DOGE-USD,Crypto,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,10,1133,561,572,0.49514563106796117,320892,317213,4096,1132,10.0,351.0,selected,DOT-USD,Crypto,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,11,3439,368,3071,0.10700785111951149,1130128,1126286,4096,2633,10.0,1008.5,selected,EEM,Equities,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,12,3439,320,3119,0.09305030532131434,998080,994692,4096,2605,10.0,1030.0,selected,EFA,Equities,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,13,3439,210,3229,0.061064262867112536,678090,676012,4096,2504,10.0,972.5,selected,EMB,Bonds,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
train,14,2148,931,1217,0.4334264432029795,1133027,1126652,4096,2102,10.0,640.0,selected,ETH-USD,Crypto,19a6232ee33796a9552232c54f9159497396cf0eb35a5bf782803940d6a178ce
