model_variant,score,split,threshold,validation_f1,n_obs,positives,prevalence,f1,balanced_accuracy,roc_auc,pr_auc,brier_score,log_loss,prediction_positive_rate
historical_frozen,transformer,test,0.29,0.5775937774432317,19764,3415,0.17278890912770695,0.5618483412322275,0.7659779048995972,0.8008913373526053,0.42257332344923226,0.11425491256423838,0.3706665438500113,0.2542501517911354
historical_frozen,static_asset_prior,test,0.26,0.5806528472718608,19764,3415,0.17278890912770695,0.5675643611341796,0.7700312285992392,0.820977915198381,0.4578504380999676,0.10924270937357253,0.3543475406049896,0.2536935842946772
historical_frozen,static_family_prior,test,0.18,0.5747239263803681,19764,3415,0.17278890912770695,0.5589925418755349,0.7589154019386968,0.807207742679423,0.418711693851539,0.11120035826113438,0.3615223974901874,0.24104432301153614
historical_frozen,within_asset_centred,test,0.48,0.3385100420364316,19764,3415,0.17278890912770695,0.2934326967862133,0.5053623080810437,0.3538297371024972,0.13576822747075562,,,0.9135296498684476
historical_frozen,asset_prior_residual,test,0.49,0.3517796830345544,19764,3415,0.17278890912770695,0.3142094334025512,0.5576505500849113,0.48078589034374386,0.1554354223029266,,,0.6800242865816636
historical_frozen,family_prior_residual,test,0.48,0.44387096774193546,19764,3415,0.17278890912770695,0.36418757659807777,0.6299729088252248,0.5533219712373774,0.20087288971242884,,,0.6116170815624368
legacy_target_purge18,transformer,test,0.17,0.5611089914790792,19764,3415,0.17278890912770695,0.5322711003348343,0.7475373592861492,0.8011226390821652,0.4205612397447428,0.11579230517253195,0.37499550086809713,0.2654320987654321
legacy_target_purge18,static_asset_prior,test,0.25,0.5784289583846344,19764,3415,0.17278890912770695,0.5675643611341796,0.7700312285992392,0.8211201279700012,0.4589825080711716,0.10927283588849102,0.35444383135717844,0.2536935842946772
legacy_target_purge18,static_family_prior,test,0.18,0.571790969051243,19764,3415,0.17278890912770695,0.5589925418755349,0.7589154019386968,0.807207742679423,0.418711693851539,0.11122005509367583,0.3616005398622285,0.24104432301153614
legacy_target_purge18,within_asset_centred,test,0.45,0.33778307508939215,19764,3415,0.17278890912770695,0.2860576923076923,0.49049611211954613,0.3713210841090929,0.13831358824056497,,,0.9217263711799231
legacy_target_purge18,asset_prior_residual,test,0.47000000000000003,0.32765483203311574,19764,3415,0.17278890912770695,0.262785668361681,0.47908417303497186,0.4033548154023596,0.1371573611671635,,,0.6928759360453349
