model_variant,score,common_dates,assets_per_date,n_obs,positives,prevalence,f1,balanced_accuracy,roc_auc,pr_auc,brier_score,log_loss,prediction_positive_rate
historical_frozen,transformer,250,72,18000,2576,0.1431111111111111,0.530522765598651,0.747583623811242,0.7914301751646221,0.39329232867981534,0.10007728876830213,0.3367934125250402,0.18633333333333332
historical_frozen,static_asset_prior,250,72,18000,2576,0.1431111111111111,0.5331273601098524,0.7464246652792454,0.8119476775324734,0.42610854264247505,0.09607659441223007,0.3224285750002945,0.18055555555555555
historical_frozen,static_family_prior,250,72,18000,2576,0.1431111111111111,0.5190100430416069,0.7305181809102859,0.7983787164796011,0.3882991012862116,0.09764852971712759,0.3291242663223874,0.16666666666666666
historical_frozen,within_asset_centred,250,72,18000,2576,0.1431111111111111,0.25168067226890756,0.5090195806809102,0.3778952444242739,0.11995327739963355,,,0.9146666666666666
historical_frozen,asset_prior_residual,250,72,18000,2576,0.1431111111111111,0.2694236449817957,0.5558104172572872,0.487944470463068,0.13055261206337637,,,0.6656111111111112
historical_frozen,family_prior_residual,250,72,18000,2576,0.1431111111111111,0.31422211988640725,0.6248240219324244,0.5576898866773731,0.17233553254029255,,,0.5807222222222223
legacy_target_purge18,transformer,250,72,18000,2576,0.1431111111111111,0.49620661824051654,0.7308385254246025,0.7908836036965865,0.38294353084909344,0.10184130000617074,0.34143117600826495,0.20105555555555554
legacy_target_purge18,static_asset_prior,250,72,18000,2576,0.1431111111111111,0.5331273601098524,0.7464246652792454,0.8120294751182315,0.426979586712277,0.09610503389332843,0.3225244725833605,0.18055555555555555
legacy_target_purge18,static_family_prior,250,72,18000,2576,0.1431111111111111,0.5190100430416069,0.7305181809102859,0.7983787164796011,0.3882991012862116,0.09766710203995088,0.32920395176750833,0.16666666666666666
legacy_target_purge18,within_asset_centred,250,72,18000,2576,0.1431111111111111,0.24431374590121271,0.4923121343522074,0.38583558775869187,0.11967614546341404,,,0.9242777777777778
legacy_target_purge18,asset_prior_residual,250,72,18000,2576,0.1431111111111111,0.2223255196228169,0.47452687269658,0.40054057885106054,0.11240092629783198,,,0.6935
legacy_target_purge18,family_prior_residual,250,72,18000,2576,0.1431111111111111,0.2516627477326167,0.525244194737249,0.46710521414557615,0.13596591306538006,,,0.6838333333333333
corrected_asset_conditioned,transformer,250,79,19750,2632,0.13326582278481014,0.46248315111577054,0.720261311525826,0.7698138364458252,0.3529477478606349,0.09821300509608236,0.33017633731750456,0.20481012658227848
corrected_asset_conditioned,static_asset_prior,250,79,19750,2632,0.13326582278481014,0.528051683100986,0.745455089844814,0.8122768262207152,0.41887779535366426,0.09071133697040512,0.30837680238081666,0.16455696202531644
corrected_asset_conditioned,static_family_prior,250,79,19750,2632,0.13326582278481014,0.5138494318181818,0.7295244105726353,0.8072523643325374,0.3831706110935429,0.09196954957440702,0.31389015056478314,0.1518987341772152
corrected_asset_conditioned,within_asset_centred,250,79,19750,2632,0.13326582278481014,0.18995290423861852,0.4271946538793307,0.4112041138729171,0.11445524674307564,,,0.7698227848101266
corrected_asset_conditioned,asset_prior_residual,250,79,19750,2632,0.13326582278481014,0.18974559686888454,0.46937740574897435,0.42018417840620675,0.10663822860341386,,,0.5135696202531645
corrected_asset_conditioned,family_prior_residual,250,79,19750,2632,0.13326582278481014,0.2513430206957288,0.5579776180781282,0.4731756325927915,0.12332220759581594,,,0.44167088607594934
no_explicit_asset_id,transformer,250,79,19750,2632,0.13326582278481014,0.3849102898328477,0.6614752960942303,0.6830120540919085,0.3019261531908643,0.11163841697708875,0.3772282106250688,0.19691139240506328
no_explicit_asset_id,static_asset_prior,250,79,19750,2632,0.13326582278481014,0.528051683100986,0.745455089844814,0.8122768262207152,0.41887779535366426,0.09071133697040512,0.30837680238081666,0.16455696202531644
no_explicit_asset_id,static_family_prior,250,79,19750,2632,0.13326582278481014,0.5138494318181818,0.7295244105726353,0.8072523643325374,0.3831706110935429,0.09196954957440702,0.31389015056478314,0.1518987341772152
no_explicit_asset_id,within_asset_centred,250,79,19750,2632,0.13326582278481014,0.24034334763948498,0.5314065323797521,0.43207689935868004,0.10874612071438143,,,0.6689620253164557
no_explicit_asset_id,asset_prior_residual,250,79,19750,2632,0.13326582278481014,0.19944987417334817,0.4512639959146436,0.31490364042045366,0.09107747521944815,,,0.7318987341772152
no_explicit_asset_id,family_prior_residual,250,79,19750,2632,0.13326582278481014,0.21168675386988062,0.47165382268828804,0.35189642002179755,0.10179019349429694,,,0.7531645569620253
no_macro,transformer,250,79,19750,2632,0.13326582278481014,0.5168135814560888,0.744903447765217,0.7944696006017237,0.36673132834054367,0.09291950951063314,0.31367217083790366,0.1769113924050633
no_macro,static_asset_prior,250,79,19750,2632,0.13326582278481014,0.528051683100986,0.745455089844814,0.8122768262207152,0.41887779535366426,0.09071133697040512,0.30837680238081666,0.16455696202531644
no_macro,static_family_prior,250,79,19750,2632,0.13326582278481014,0.5138494318181818,0.7295244105726353,0.8072523643325374,0.3831706110935429,0.09196954957440702,0.31389015056478314,0.1518987341772152
no_macro,within_asset_centred,250,79,19750,2632,0.13326582278481014,0.24739084789723956,0.5429112683248867,0.5304879797337344,0.14626593030458102,,,0.686632911392405
no_macro,asset_prior_residual,250,79,19750,2632,0.13326582278481014,0.27874005216344544,0.5968839214023455,0.5406863000996835,0.13580280776771356,,,0.6238481012658228
no_macro,family_prior_residual,250,79,19750,2632,0.13326582278481014,0.3441284650578631,0.671669798867933,0.594983692666423,0.18453403103970578,,,0.4311392405063291
