Ticker,observed_rows,frozen_labels,corrected_labels,restored_labels,family
ADA-USD,3149,3139,3139,0,Crypto
AGG,4142,4132,4132,0,Bonds
AVAX-USD,2103,2091,2093,2,Crypto
BCH-USD,3149,3139,3139,0,Crypto
BND,4142,4132,4132,0,Bonds
BTC-USD,4298,4288,4288,0,Crypto
CPER,3670,3660,3660,0,Commodities
DBA,4142,4132,4132,0,Commodities
DIA,4142,4132,4132,0,Equities
DOGE-USD,3149,3139,3139,0,Crypto
DOT-USD,2134,2124,2124,0,Crypto
EEM,4142,4132,4132,0,Equities
EFA,4142,4132,4132,0,Equities
EMB,4142,4132,4132,0,Bonds
ETH-USD,3149,3139,3139,0,Crypto
EWA,4142,4132,4132,0,Equities
EWC,4142,4132,4132,0,Equities
EWJ,4142,4132,4132,0,Equities
EWU,4142,4132,4132,0,Equities
EWZ,4142,4132,4132,0,Equities
FXA,4142,1177,4132,2955,FX
FXB,4142,1177,4132,2955,FX
FXC,4142,1177,4132,2955,FX
FXE,4142,1177,4132,2955,FX
FXI,4142,4132,4132,0,Equities
FXY,4142,1177,4132,2955,FX
GLD,4142,4132,4132,0,Commodities
HYG,4142,4132,4132,0,Bonds
IEF,4142,4132,4132,0,Bonds
IFRA,2065,2055,2055,0,Real assets
INDA,3616,3606,3606,0,Equities
IWD,4142,4132,4132,0,Equities
IWF,4142,4132,4132,0,Equities
IWM,4142,4132,4132,0,Equities
IYR,4142,4132,4132,0,Real assets
JNK,4142,4132,4132,0,Bonds
LINK-USD,3149,3139,3139,0,Crypto
LQD,4142,4132,4132,0,Bonds
LTC-USD,4298,4288,4288,0,Crypto
MTUM,3315,3305,3305,0,Equities
MUB,4142,4132,4132,0,Bonds
PALL,4138,4128,4128,0,Commodities
PPLT,4138,4128,4128,0,Commodities
QQQ,4142,4132,4132,0,Equities
QUAL,3252,3242,3242,0,Equities
SHY,4142,4132,4132,0,Bonds
SIZE,3315,3305,3305,0,Equities
SLV,4142,4132,4132,0,Commodities
SOL-USD,2266,2256,2256,0,Crypto
SPY,4142,4132,4132,0,Equities
TIP,4142,4132,4132,0,Bonds
TLT,4142,4132,4132,0,Bonds
UNG,4142,4132,4132,0,Commodities
UNI-USD,2006,1996,1996,0,Crypto
USMV,3688,3678,3678,0,Equities
USO,4142,4132,4132,0,Commodities
UUP,4142,1177,4132,2955,FX
VEA,4142,4132,4132,0,Equities
VGK,4142,4132,4132,0,Equities
VLUE,3315,3305,3305,0,Equities
VNQ,4142,4132,4132,0,Real assets
VT,4142,4132,4132,0,Equities
VTI,4142,4132,4132,0,Equities
VTV,4142,4132,4132,0,Equities
VUG,4142,4132,4132,0,Equities
VWO,4142,4132,4132,0,Equities
XBI,4142,1177,4132,2955,Equities
XLB,4142,4132,4132,0,Equities
XLC,2013,2003,2003,0,Equities
XLE,4142,4132,4132,0,Equities
XLF,4142,4132,4132,0,Equities
XLI,4142,4132,4132,0,Equities
XLK,4142,4132,4132,0,Equities
XLM-USD,3149,3139,3139,0,Crypto
XLP,4142,4132,4132,0,Equities
XLRE,2691,2681,2681,0,Equities
XLU,4142,4132,4132,0,Equities
XLV,4142,4132,4132,0,Equities
XLY,4142,4132,4132,0,Equities
XRP-USD,3149,3139,3139,0,Crypto
