model_variant,score,n_obs,positives,prevalence,f1,balanced_accuracy,roc_auc,pr_auc,brier_score,log_loss,prediction_positive_rate
historical_frozen,transformer,19764,3415,0.14269703330534564,0.5275589576589028,0.7454839403177058,0.7898698250847308,0.39062044107290383,0.10034191869114396,0.33759632007403007,0.1851780016792611
historical_frozen,static_asset_prior,19764,3415,0.14269703330534564,0.5312483360123176,0.7456335442484312,0.812085526405022,0.428793288195499,0.0958086706658714,0.32188064457204124,0.18055555555555555
historical_frozen,static_family_prior,19764,3415,0.14269703330534564,0.51702776434572,0.7296651020898497,0.7976896833620596,0.38621648534708886,0.09763568125652095,0.3290985611493661,0.16666666666666666
historical_frozen,within_asset_centred,19764,3415,0.14269703330534564,0.2504697537631171,0.5077953925361269,0.37761827409309906,0.11966890468648099,,,0.9141684858662189
historical_frozen,asset_prior_residual,19764,3415,0.14269703330534564,0.2684387722534322,0.5552253200059769,0.48639000036361985,0.12981175660741745,,,0.6653702770780856
historical_frozen,family_prior_residual,19764,3415,0.14269703330534564,0.31185982835096343,0.6222820692173799,0.5577989456523168,0.17184365526714915,,,0.5794594178561433
legacy_target_purge18,transformer,19764,3415,0.14269703330534564,0.49451125124245343,0.730029320334797,0.7910584316376602,0.3844860982982198,0.10154741867184709,0.3408367554987113,0.20082941505737473
legacy_target_purge18,static_asset_prior,19764,3415,0.14269703330534564,0.5312483360123176,0.7456335442484312,0.812164963842353,0.42974110855075115,0.09583554932804,0.3219735752907457,0.18055555555555555
legacy_target_purge18,static_family_prior,19764,3415,0.14269703330534564,0.51702776434572,0.7296651020898497,0.7976896833620596,0.38621648534708886,0.09765558865369921,0.3291809190581618,0.16666666666666666
legacy_target_purge18,within_asset_centred,19764,3415,0.14269703330534564,0.24406750141347955,0.49311053126059917,0.3913343990502185,0.12033007904926295,,,0.9243204589980409
legacy_target_purge18,asset_prior_residual,19764,3415,0.14269703330534564,0.22420981853871638,0.478484253983694,0.40648872018734117,0.11318290061665386,,,0.6949918835712285
legacy_target_purge18,family_prior_residual,19764,3415,0.14269703330534564,0.2540579190782827,0.5302104909372051,0.47831345817455967,0.13887832328414776,,,0.6851563112230618
corrected_asset_conditioned,transformer,21514,3471,0.1328884354175302,0.46255950477547536,0.721025403074959,0.7707647413260675,0.3616603485407816,0.09781554980889007,0.3293591360400364,0.20533022988872238
corrected_asset_conditioned,static_asset_prior,21514,3471,0.1328884354175302,0.5261841312583302,0.7446769402024302,0.8123365581889045,0.42155649198420214,0.09046633253455197,0.3078759457250708,0.16455696202531644
corrected_asset_conditioned,static_family_prior,21514,3471,0.1328884354175302,0.511880050784959,0.728687244279741,0.8066020110871265,0.38110976775930067,0.09195902686979161,0.3138690996989938,0.1518987341772152
corrected_asset_conditioned,within_asset_centred,21514,3471,0.1328884354175302,0.19838408131812504,0.4434182855647582,0.433054857989164,0.11947041417304494,,,0.7781602525268628
corrected_asset_conditioned,asset_prior_residual,21514,3471,0.1328884354175302,0.19791082145234096,0.48054677498888154,0.43297097512308275,0.10879047664183408,,,0.5196467174696298
corrected_asset_conditioned,family_prior_residual,21514,3471,0.1328884354175302,0.26003957563558394,0.5694040829281017,0.48928685479930467,0.1273747858827918,,,0.4473837324235564
no_explicit_asset_id,transformer,21514,3471,0.1328884354175302,0.3812463885809004,0.6584643945446229,0.6827366279368959,0.30316774528565843,0.11130731535759446,0.3763468502410447,0.19377929407263336
no_explicit_asset_id,static_asset_prior,21514,3471,0.1328884354175302,0.5261841312583302,0.7446769402024302,0.8123365581889045,0.42155649198420214,0.09046633253455197,0.3078759457250708,0.16455696202531644
no_explicit_asset_id,static_family_prior,21514,3471,0.1328884354175302,0.511880050784959,0.728687244279741,0.8066020110871265,0.38110976775930067,0.09195902686979161,0.3138690996989938,0.1518987341772152
no_explicit_asset_id,within_asset_centred,21514,3471,0.1328884354175302,0.23766825097898145,0.5279383362627715,0.42898226389772953,0.1078862309778888,,,0.6654942448107642
no_explicit_asset_id,asset_prior_residual,21514,3471,0.1328884354175302,0.19624576437256475,0.4467325858080652,0.3138741707588027,0.09061872790778215,,,0.7281721774064981
no_explicit_asset_id,family_prior_residual,21514,3471,0.1328884354175302,0.20964262529899855,0.46909759378266297,0.35076522733617616,0.10093733664135558,,,0.7500324586295953
no_macro,transformer,21514,3471,0.1328884354175302,0.514886572806308,0.7440197506582773,0.7939205351803521,0.36583783843019063,0.09285618011498367,0.3135448024336316,0.1768306603322386
no_macro,static_asset_prior,21514,3471,0.1328884354175302,0.5261841312583302,0.7446769402024302,0.8123365581889045,0.42155649198420214,0.09046633253455197,0.3078759457250708,0.16455696202531644
no_macro,static_family_prior,21514,3471,0.1328884354175302,0.511880050784959,0.728687244279741,0.8066020110871265,0.38110976775930067,0.09195902686979161,0.3138690996989938,0.1518987341772152
no_macro,within_asset_centred,21514,3471,0.1328884354175302,0.24837557928924753,0.5456700119397112,0.5337174160232997,0.1469613476719489,,,0.6870860568185442
no_macro,asset_prior_residual,21514,3471,0.1328884354175302,0.2779860332084258,0.5966750053641241,0.5388374561931784,0.13479235389595545,,,0.6239548512578516
no_macro,family_prior_residual,21514,3471,0.1328884354175302,0.34314016378536877,0.6712862032286631,0.5950437519576842,0.1838491299292427,,,0.431073430475401
