model_variant,score,n_obs,positives,prevalence,f1,balanced_accuracy,roc_auc,pr_auc,brier_score,log_loss,prediction_positive_rate
historical_frozen,transformer,19764,3415,0.1694479232200033,0.5410818886092303,0.747400405458136,0.8025039948858067,0.4162260881000964,0.11369010159440654,0.36875733652668247,0.23536097043616597
historical_frozen,static_asset_prior,19764,3415,0.1694479232200033,0.5403490145405592,0.7431656401855549,0.8178862705026706,0.44948255383510405,0.10974984172673134,0.35487732271395395,0.225
historical_frozen,static_family_prior,19764,3415,0.1694479232200033,0.5195307228326186,0.7205565264450577,0.8075287477844503,0.4099271077930412,0.11240555121349467,0.3639797777896354,0.2
historical_frozen,within_asset_centred,19764,3415,0.1694479232200033,0.2878981942891714,0.5030231265197294,0.36529142228346145,0.14476223982587644,,,0.9232171750649808
historical_frozen,asset_prior_residual,19764,3415,0.1694479232200033,0.3226766539679557,0.577898918132012,0.4853287636251241,0.15415741899093516,,,0.6673803771508
historical_frozen,family_prior_residual,19764,3415,0.1694479232200033,0.3529256513399175,0.6217259047288856,0.5564741429826435,0.206866936775993,,,0.621677936196112
legacy_target_purge18,transformer,19764,3415,0.1694479232200033,0.5187045021706422,0.7354307316765223,0.8103583976614767,0.41685592585022396,0.11469748556538953,0.36965117474326414,0.24826547350744618
legacy_target_purge18,static_asset_prior,19764,3415,0.1694479232200033,0.5403490145405592,0.7431656401855549,0.8179857042642746,0.45044037840017914,0.10978424328173952,0.3549907868503826,0.225
legacy_target_purge18,static_family_prior,19764,3415,0.1694479232200033,0.5195307228326186,0.7205565264450577,0.8075287477844503,0.4099271077930412,0.11243289054489698,0.36408742728523064,0.2
legacy_target_purge18,within_asset_centred,19764,3415,0.1694479232200033,0.280553537358727,0.48837179571240424,0.3845127584943425,0.14498783653386527,,,0.9270323976876013
legacy_target_purge18,asset_prior_residual,19764,3415,0.1694479232200033,0.2643089481673412,0.48949171430753935,0.42273231492865404,0.13841966190865135,,,0.6797728759154584
legacy_target_purge18,family_prior_residual,19764,3415,0.1694479232200033,0.2999524231723124,0.5448937411056847,0.49928307256219207,0.1737926284431361,,,0.6561768876622516
corrected_asset_conditioned,transformer,21514,3471,0.1464612135695259,0.49596549992892897,0.7321868731401551,0.7936701765974709,0.38838286649934867,0.10252822650268467,0.33849886017088887,0.2140595966446092
corrected_asset_conditioned,static_asset_prior,21514,3471,0.1464612135695259,0.5318470577300649,0.7453663973009386,0.8253890930481889,0.4392775203723541,0.096708917883781,0.3202167077550174,0.1875
corrected_asset_conditioned,static_family_prior,21514,3471,0.1464612135695259,0.5108124579823322,0.7222400756080996,0.8249676678211524,0.4032226938504116,0.098851357239636,0.3272579086991712,0.16666666666666666
corrected_asset_conditioned,within_asset_centred,21514,3471,0.1464612135695259,0.21412275856220647,0.44129618831808276,0.43541195106808883,0.136386795560923,,,0.7704982879560965
corrected_asset_conditioned,asset_prior_residual,21514,3471,0.1464612135695259,0.21271425790745904,0.4717343545089821,0.40535042261763754,0.11457771631187254,,,0.5646354863300708
corrected_asset_conditioned,family_prior_residual,21514,3471,0.1464612135695259,0.26053839851691113,0.5411069300892848,0.4510036287894385,0.13001945529778813,,,0.5435891632856369
no_explicit_asset_id,transformer,21514,3471,0.1464612135695259,0.38750697715157334,0.6519246203684345,0.6714870507765044,0.30235907837988324,0.12045819650863039,0.40038794019928553,0.20313934393342456
no_explicit_asset_id,static_asset_prior,21514,3471,0.1464612135695259,0.5318470577300649,0.7453663973009386,0.8253890930481889,0.4392775203723541,0.096708917883781,0.3202167077550174,0.1875
no_explicit_asset_id,static_family_prior,21514,3471,0.1464612135695259,0.5108124579823322,0.7222400756080996,0.8249676678211524,0.4032226938504116,0.098851357239636,0.3272579086991712,0.16666666666666666
no_explicit_asset_id,within_asset_centred,21514,3471,0.1464612135695259,0.2621049851086383,0.5366856974835945,0.45064317008432236,0.1235548840014116,,,0.650406029878322
no_explicit_asset_id,asset_prior_residual,21514,3471,0.1464612135695259,0.19540106105585936,0.40767211397249375,0.268120601410713,0.09484182654809158,,,0.7668722890599465
no_explicit_asset_id,family_prior_residual,21514,3471,0.1464612135695259,0.20898088432421003,0.4311607479771958,0.3006094419519617,0.1045132013710825,,,0.7747065545006352
no_macro,transformer,21514,3471,0.1464612135695259,0.5257031981976654,0.7431207747113454,0.815696987389252,0.3940498191017425,0.09864699609466843,0.3268272415428775,0.19149047880471057
no_macro,static_asset_prior,21514,3471,0.1464612135695259,0.5318470577300649,0.7453663973009386,0.8253890930481889,0.4392775203723541,0.096708917883781,0.3202167077550174,0.1875
no_macro,static_family_prior,21514,3471,0.1464612135695259,0.5108124579823322,0.7222400756080996,0.8249676678211524,0.4032226938504116,0.098851357239636,0.3272579086991712,0.16666666666666666
no_macro,within_asset_centred,21514,3471,0.1464612135695259,0.28528341849687155,0.5735917250752368,0.5626830478837682,0.1759471096110719,,,0.6524476674319244
no_macro,asset_prior_residual,21514,3471,0.1464612135695259,0.3012458666437953,0.5992121847240381,0.48127350289886234,0.1322237366724473,,,0.6595056288519764
no_macro,family_prior_residual,21514,3471,0.1464612135695259,0.32762663108477436,0.6342364885119383,0.5294348252782792,0.18199592869681772,,,0.5514950023388311
