model_variant,score,events,onset_detected_events,onset_event_recall,any_window_event_recall,false_alarm_episodes,false_alarm_episodes_per_100_asset_years,false_positive_windows,false_positive_windows_per_100_asset_years,alert_exposure_fraction
historical_frozen,transformer,678,394,0.5811209439528023,0.5899705014749262,25,46.20142683667274,2654,4904.743472981178,0.2542501517911354
historical_frozen,static_asset_prior,678,393,0.5796460176991151,0.5796460176991151,0,0.0,2622,4845.605646630236,0.2536935842946772
historical_frozen,static_family_prior,678,367,0.5412979351032449,0.5412979351032449,0,0.0,2478,4579.485428051002,0.24104432301153614
historical_frozen,within_asset_centred,678,632,0.9321533923303835,0.9557522123893806,155,286.44884638737096,14905,27545.290680024285,0.9135296498684476
historical_frozen,asset_prior_residual,678,497,0.7330383480825958,0.7728613569321534,302,558.1132361870067,10792,19944.231936854885,0.6800242865816636
historical_frozen,family_prior_residual,678,522,0.7699115044247787,0.799410029498525,368,680.0850030358226,9265,17122.248785670916,0.6116170815624368
legacy_target_purge18,transformer,678,391,0.5766961651917404,0.5914454277286135,64,118.27565270188221,2941,5435.135853066181,0.2654320987654321
legacy_target_purge18,static_asset_prior,678,393,0.5796460176991151,0.5796460176991151,0,0.0,2622,4845.605646630236,0.2536935842946772
legacy_target_purge18,static_family_prior,678,367,0.5412979351032449,0.5412979351032449,0,0.0,2478,4579.485428051002,0.24104432301153614
legacy_target_purge18,within_asset_centred,678,620,0.9144542772861357,0.9292035398230089,68,125.66788099574984,15123,27948.16712204007,0.9217263711799231
legacy_target_purge18,asset_prior_residual,678,455,0.6710914454277286,0.7020648967551623,152,280.9046751669702,11446,21152.861262902246,0.6928759360453349
legacy_target_purge18,family_prior_residual,678,503,0.7418879056047197,0.7831858407079646,204,377.0036429872495,11109,20530.066029143898,0.6907002631046347
corrected_asset_conditioned,transformer,698,398,0.5702005730659025,0.5845272206303725,93,157.88904899135449,3372,5724.751324718788,0.2660128288556289
corrected_asset_conditioned,static_asset_prior,698,393,0.5630372492836676,0.5630372492836676,0,0.0,2622,4451.4525425304455,0.23305754392488612
corrected_asset_conditioned,static_family_prior,698,367,0.5257879656160458,0.5257879656160458,0,0.0,2478,4206.9791763502835,0.2214372036813238
corrected_asset_conditioned,within_asset_centred,698,491,0.7034383954154728,0.7765042979942693,248,421.0374639769453,14143,24011.019568652973,0.7618759877289207
corrected_asset_conditioned,asset_prior_residual,698,343,0.49140401146131807,0.5415472779369628,203,344.6395370456447,9525,16170.89453379195,0.5222180905456911
corrected_asset_conditioned,family_prior_residual,698,389,0.5573065902578797,0.6045845272206304,231,392.17602491400953,7983,13552.992237612718,0.46792786092776795
no_explicit_asset_id,transformer,698,328,0.4699140401146132,0.49426934097421205,192,325.9644882402157,3346,5680.610300269592,0.2449102909733197
no_explicit_asset_id,static_asset_prior,698,393,0.5630372492836676,0.5630372492836676,0,0.0,2622,4451.4525425304455,0.23305754392488612
no_explicit_asset_id,static_family_prior,698,367,0.5257879656160458,0.5257879656160458,0,0.0,2478,4206.9791763502835,0.2214372036813238
no_explicit_asset_id,within_asset_centred,698,510,0.7306590257879656,0.7836676217765043,391,663.8130984475226,11954,20294.684856372594,0.6710978897462118
no_explicit_asset_id,asset_prior_residual,698,452,0.6475644699140402,0.6948424068767909,248,421.0374639769453,13397,22744.511713302967,0.7286882959933066
no_explicit_asset_id,family_prior_residual,698,493,0.7063037249283668,0.7435530085959885,255,432.92158594403645,13734,23316.647299432927,0.7555545226364228
no_macro,transformer,698,404,0.5787965616045845,0.5787965616045845,3,5.09319512875337,2830,4804.580738124013,0.2439806637538347
no_macro,static_asset_prior,698,393,0.5630372492836676,0.5630372492836676,0,0.0,2622,4451.4525425304455,0.23305754392488612
no_macro,static_family_prior,698,367,0.5257879656160458,0.5257879656160458,0,0.0,2478,4206.9791763502835,0.2214372036813238
no_macro,within_asset_centred,698,530,0.7593123209169055,0.7736389684813754,226,383.68736636608725,12199,20710.62912522079,0.6897833968578599
no_macro,asset_prior_residual,698,544,0.7793696275071633,0.7851002865329513,46,78.095658640885,11156,18939.8949521242,0.6542716370735335
no_macro,family_prior_residual,698,491,0.7034383954154728,0.7063037249283668,66,112.05029283257414,7511,12751.662870688855,0.4770846890396951
