association,split,n_dates,block_observations,spearman_rho,ci_lower,ci_upper,same_sign_fraction,interval_excludes_zero
equities_to_equities_lag5,train,3473,10,0.03607779516053045,-0.03621669616036901,0.11091330994277702,0.842,False
equities_to_equities_lag5,train,3473,20,0.03607779516053045,-0.04375113448004433,0.11834660752106656,0.818,False
equities_to_equities_lag5,train,3473,40,0.03607779516053045,-0.05150904569759969,0.12819420535657358,0.818,False
equities_to_equities_lag5,train,3473,60,0.03607779516053045,-0.038548156611647295,0.11698109297074522,0.788,False
equities_to_bonds_lag1,train,3477,10,-0.07322995714537625,-0.13929613118637643,-0.00631301841131406,0.978,True
equities_to_bonds_lag1,train,3477,20,-0.07322995714537625,-0.14575228046876418,-0.005070253379515376,0.986,True
equities_to_bonds_lag1,train,3477,40,-0.07322995714537625,-0.15097154210418273,0.0018902001652721639,0.97,False
equities_to_bonds_lag1,train,3477,60,-0.07322995714537625,-0.14007350551251824,-0.0034061838109744483,0.98,True
equities_to_equities_lag5,validation,292,10,0.20583533095578033,-0.02642575335610256,0.4000245753321753,0.96,False
equities_to_equities_lag5,validation,292,20,0.20583533095578033,-0.02724205810942433,0.41135752387970326,0.95,False
equities_to_equities_lag5,validation,292,40,0.20583533095578033,-0.05922671304340468,0.4587004653594446,0.938,False
equities_to_equities_lag5,validation,292,60,0.20583533095578033,-0.03138168682198909,0.4353242387180414,0.956,False
equities_to_bonds_lag1,validation,296,10,-0.17399731769301097,-0.3445542119938171,0.0010046804258766842,0.974,False
equities_to_bonds_lag1,validation,296,20,-0.17399731769301097,-0.3466554445811458,0.0038550702033682592,0.96,False
equities_to_bonds_lag1,validation,296,40,-0.17399731769301097,-0.3577498268723313,0.02450336316601109,0.944,False
equities_to_bonds_lag1,validation,296,60,-0.17399731769301097,-0.33341288357887516,0.009944568894971832,0.966,False
equity_bond_correlation,train,4530,10,0.19056083854415154,0.12621622938094482,0.25133402536216676,1.0,True
equity_bond_correlation,train,4530,20,0.19056083854415154,0.12371475006492472,0.2604863809249082,1.0,True
equity_bond_correlation,train,4530,40,0.19056083854415154,0.11065260798557257,0.28206696698281436,1.0,True
equity_bond_correlation,train,4530,60,0.19056083854415154,0.09485444256970449,0.2696990193359701,1.0,True
equity_bond_correlation,validation,424,10,0.18192379618522683,-0.005153189806553253,0.339092731333191,0.972,False
equity_bond_correlation,validation,424,20,0.18192379618522683,-0.007553303978586272,0.38074663302853984,0.968,False
equity_bond_correlation,validation,424,40,0.18192379618522683,-0.018747869558884248,0.3848473885720624,0.96,False
equity_bond_correlation,validation,424,60,0.18192379618522683,-0.05863065115492113,0.3900368750225032,0.924,False
momentum_dispersion,train,4514,10,0.4280198860615308,0.37551637958249184,0.4768891109096191,1.0,True
momentum_dispersion,train,4514,20,0.4280198860615308,0.3689998044743196,0.47725500474686083,1.0,True
momentum_dispersion,train,4514,40,0.4280198860615308,0.3615824864650344,0.4844149227339821,1.0,True
momentum_dispersion,train,4514,60,0.4280198860615308,0.3571584919909603,0.4815940741455092,1.0,True
momentum_dispersion,validation,438,10,0.2472983490099833,0.0646442084905468,0.43210484813034966,0.998,True
momentum_dispersion,validation,438,20,0.2472983490099833,0.05643358030789449,0.4087721200339631,0.992,True
momentum_dispersion,validation,438,40,0.2472983490099833,0.053392548549641636,0.3986911534912546,0.994,True
momentum_dispersion,validation,438,60,0.2472983490099833,0.08085244819574125,0.38180037648943443,1.0,True
