model_variant,representation,probe_task,split,n_obs,n_classes,accuracy,balanced_accuracy,roc_auc,pr_auc,per_asset_macro_roc_auc,pair_weighted_within_asset_roc_auc,eligible_assets
corrected_asset_conditioned,transformer_summary,asset_identity,validation,10112,79,0.18225870253164558,0.18225870253164558,,,,,
corrected_asset_conditioned,transformer_summary,asset_identity,test,10112,79,0.16693037974683544,0.16693037974683544,,,,,
corrected_asset_conditioned,transformer_summary,family_identity,validation,10112,6,0.2233979430379747,0.3003703653117715,,,,,
corrected_asset_conditioned,transformer_summary,family_identity,test,10112,6,0.2222112341772152,0.30638643040986796,,,,,
corrected_asset_conditioned,transformer_summary,stress_state,validation,10112,2,0.18473101265822786,0.5199403165222096,0.704824164733058,0.24604287258132024,0.6104656438847411,0.5878142323888922,73.0
corrected_asset_conditioned,transformer_summary,stress_state,test,10112,2,0.15753560126582278,0.5084432817713073,0.5791639093390687,0.16608527887737873,0.5749151840665201,0.5230415167400317,73.0
corrected_asset_conditioned,raw_window_mean_last,asset_identity,validation,10112,79,0.012954905063291139,0.012954905063291139,,,,,
corrected_asset_conditioned,raw_window_mean_last,asset_identity,test,10112,79,0.013152689873417722,0.013152689873417722,,,,,
corrected_asset_conditioned,raw_window_mean_last,family_identity,validation,10112,6,0.10660601265822785,0.17597853535353536,,,,,
corrected_asset_conditioned,raw_window_mean_last,family_identity,test,10112,6,0.10314477848101265,0.1699416035353535,,,,,
corrected_asset_conditioned,raw_window_mean_last,stress_state,validation,10112,2,0.13647151898734178,0.49936691396048155,0.41298960533571955,0.1199997007143539,0.5543499041320367,0.5588318200066626,73.0
corrected_asset_conditioned,raw_window_mean_last,stress_state,test,10112,2,0.13182357594936708,0.48238998262883614,0.40863620853668625,0.1111313995876797,0.5973744603342954,0.5407039397979871,73.0
no_explicit_asset_id,transformer_summary,asset_identity,validation,10112,79,0.01305379746835443,0.01305379746835443,,,,,
no_explicit_asset_id,transformer_summary,asset_identity,test,10112,79,0.016020569620253163,0.016020569620253163,,,,,
no_explicit_asset_id,transformer_summary,family_identity,validation,10112,6,0.19570806962025317,0.23781990578865578,,,,,
no_explicit_asset_id,transformer_summary,family_identity,test,10112,6,0.17701740506329114,0.21756628787878787,,,,,
no_explicit_asset_id,transformer_summary,stress_state,validation,10112,2,0.3191257911392405,0.5594119471006275,0.6985668057477603,0.2585974854843753,0.5969522508135457,0.57064516404575,73.0
no_explicit_asset_id,transformer_summary,stress_state,test,10112,2,0.3080498417721519,0.5496088041470206,0.577674176937712,0.15902170471145782,0.5777490233475058,0.5319823193117682,73.0
no_explicit_asset_id,raw_window_mean_last,asset_identity,validation,10112,79,0.012954905063291139,0.012954905063291139,,,,,
no_explicit_asset_id,raw_window_mean_last,asset_identity,test,10112,79,0.013152689873417722,0.013152689873417722,,,,,
no_explicit_asset_id,raw_window_mean_last,family_identity,validation,10112,6,0.10660601265822785,0.17597853535353536,,,,,
no_explicit_asset_id,raw_window_mean_last,family_identity,test,10112,6,0.10314477848101265,0.1699416035353535,,,,,
no_explicit_asset_id,raw_window_mean_last,stress_state,validation,10112,2,0.13647151898734178,0.49936691396048155,0.41298960533571955,0.1199997007143539,0.5543499041320367,0.5588318200066626,73.0
no_explicit_asset_id,raw_window_mean_last,stress_state,test,10112,2,0.13182357594936708,0.48238998262883614,0.40863620853668625,0.1111313995876797,0.5973744603342954,0.5407039397979871,73.0
