split,group_type,group,n_assets,n_obs,positives,prevalence,contiguous_label_episodes,greedy_nonoverlap_positive_endpoints,mean_episode_windows,median_stressed_future_return,median_stressed_future_drawdown,median_stressed_volatility_ratio,volatility_only_positive_rate
train,asset_ticker,ADA-USD,1,2207,1156,0.5237879474399637,188,166,6.148936170212766,-0.09511404878688906,-0.1348735179979078,1.0224845964425668,0.04844290657439446
train,asset_ticker,AGG,1,3498,90,0.025728987993138937,21,18,4.285714285714286,-0.004867623028412593,-0.007613205588519134,2.2633992960530662,0.9222222222222223
train,asset_ticker,AVAX-USD,1,1161,667,0.5745047372954349,100,96,6.67,-0.09253535448725358,-0.1385519229774197,0.9584846803577926,0.08545727136431784
train,asset_ticker,BCH-USD,1,2207,1152,0.5219755323969189,171,159,6.7368421052631575,-0.09141268347818904,-0.12584829993073343,1.006812679238871,0.06597222222222222
train,asset_ticker,BND,1,3498,88,0.025157232704402517,18,17,4.888888888888889,-0.010221904890594713,-0.012348170689680749,2.3034140771161242,0.8977272727272727
train,asset_ticker,BTC-USD,1,3356,1200,0.3575685339690107,215,188,5.5813953488372094,-0.07429850021523143,-0.10894063984323016,1.241097698678466,0.13083333333333333
train,asset_ticker,CPER,1,3026,363,0.11996034368803701,88,70,4.125,-0.06110825156971045,-0.0713279487803038,1.3956643744719697,0.1487603305785124
train,asset_ticker,DBA,1,3498,137,0.03916523727844483,46,34,2.9782608695652173,-0.05313998916635221,-0.05749993878222026,1.8237529660209864,0.291970802919708
train,asset_ticker,DIA,1,3498,305,0.08719268153230417,62,59,4.919354838709677,-0.04344572532712243,-0.05530533548729755,2.239227832700819,0.47540983606557374
train,asset_ticker,DOGE-USD,1,2207,1151,0.5215224286361577,168,161,6.851190476190476,-0.08319210776877273,-0.11726162040879995,0.9961069338138637,0.14509122502172025
train,asset_ticker,DOT-USD,1,1192,601,0.5041946308724832,98,83,6.13265306122449,-0.0885193807702579,-0.13316015389610214,1.0454688851168688,0.036605657237936774
train,asset_ticker,EEM,1,3498,382,0.10920526014865638,106,83,3.6037735849056602,-0.06028798519792883,-0.07303767919765058,1.4229164521325826,0.09424083769633508
train,asset_ticker,EFA,1,3498,330,0.09433962264150944,85,71,3.8823529411764706,-0.05473701604999143,-0.0653368718597217,2.0411106014665044,0.29393939393939394
train,asset_ticker,EMB,1,3498,210,0.060034305317324184,34,34,6.176470588235294,-0.01877937462223611,-0.033949870525445514,2.461053330049182,0.7761904761904762
train,asset_ticker,ETH-USD,1,2207,946,0.42863615768010876,164,145,5.7682926829268295,-0.08877606975373087,-0.12326652300863467,1.138285191626656,0.0708245243128964
train,asset_ticker,EWA,1,3498,413,0.1180674671240709,98,80,4.214285714285714,-0.06067050317578293,-0.07414093606996786,1.5250068921947575,0.14285714285714285
train,asset_ticker,EWC,1,3498,330,0.09433962264150944,81,67,4.074074074074074,-0.0603386026255851,-0.07188702270496855,1.6257960893315262,0.18484848484848485
train,asset_ticker,EWJ,1,3498,280,0.08004574042309891,71,61,3.943661971830986,-0.056870121206731294,-0.0662564902447288,2.0100836299545284,0.26785714285714285
train,asset_ticker,EWU,1,3498,345,0.09862778730703259,88,71,3.9204545454545454,-0.057657825627954296,-0.0708222191228346,1.9509749571526858,0.21159420289855072
train,asset_ticker,EWZ,1,3498,794,0.22698684962835905,202,151,3.9306930693069306,-0.0661414253649163,-0.08339735249319569,1.2055205432749951,0.022670025188916875
train,asset_ticker,FXA,1,3498,95,0.02715837621497999,27,24,3.5185185185185186,-0.04048121198035526,-0.0509824507561496,2.1529059445587957,0.5263157894736842
train,asset_ticker,FXB,1,3498,96,0.0274442538593482,24,22,4.0,-0.023481029039989554,-0.036619296567216075,2.202047783277137,0.6666666666666666
train,asset_ticker,FXC,1,3498,50,0.01429388221841052,16,13,3.125,-0.0315157998390973,-0.04177370983307205,2.145272740406588,0.74
train,asset_ticker,FXE,1,3498,63,0.018010291595197257,18,17,3.5,-0.020455012032588038,-0.025049675827291784,2.1369269714862313,0.6984126984126984
train,asset_ticker,FXI,1,3498,561,0.16037735849056603,149,113,3.7651006711409396,-0.06426528713138224,-0.07777525199464075,1.216284863487751,0.0677361853832442
train,asset_ticker,FXY,1,3498,168,0.048027444253859346,41,36,4.097560975609756,0.0020764975944603803,-0.01673886917065459,2.2724894034358027,0.7797619047619048
train,asset_ticker,GLD,1,3498,272,0.07775871926815323,74,58,3.675675675675676,-0.051242159389479125,-0.05418658986253777,2.028550226273368,0.4338235294117647
train,asset_ticker,HYG,1,3498,246,0.07032590051457976,54,43,4.555555555555555,-0.009990461862384059,-0.019629043486934283,2.418997092044629,0.8577235772357723
train,asset_ticker,IEF,1,3498,86,0.024585477415666093,22,19,3.909090909090909,0.004089884821539824,-0.009088707899331583,2.3288387987128756,0.9883720930232558
train,asset_ticker,IFRA,1,1421,135,0.09500351864883885,33,26,4.090909090909091,-0.060717108439395706,-0.07046991583101958,1.6213350353509985,0.17777777777777778
train,asset_ticker,INDA,1,2972,314,0.10565275908479138,88,64,3.5681818181818183,-0.06023292362788535,-0.07399023322609238,1.4707648816732704,0.09872611464968153
train,asset_ticker,IWD,1,3498,314,0.08976558033161806,63,61,4.984126984126984,-0.04871867156726967,-0.05538447109808364,2.197784423932963,0.4426751592356688
train,asset_ticker,IWF,1,3498,357,0.10205831903945112,74,63,4.824324324324325,-0.05307481842267825,-0.06584725221247578,2.0256662783976718,0.3165266106442577
train,asset_ticker,IWM,1,3498,379,0.10834762721555175,96,79,3.9479166666666665,-0.058967838673187,-0.07671516033218162,1.4698660919375333,0.15303430079155672
train,asset_ticker,IYR,1,3498,363,0.10377358490566038,91,67,3.989010989010989,-0.05610488451072326,-0.0709805394522921,1.7477230845737723,0.23140495867768596
train,asset_ticker,JNK,1,3498,271,0.07747284162378502,50,44,5.42,-0.01033314539496677,-0.018115982688673316,2.4395061736135726,0.8634686346863468
train,asset_ticker,LINK-USD,1,2207,1145,0.5188038060715904,194,170,5.902061855670103,-0.08718804571644101,-0.1404794392887012,1.007716894750928,0.032314410480349345
train,asset_ticker,LQD,1,3498,84,0.024013722126929673,21,21,4.0,-0.01086229214882839,-0.024893658682307918,2.3392960837383336,0.7619047619047619
train,asset_ticker,LTC-USD,1,3356,1530,0.45589988081048866,279,233,5.483870967741935,-0.08322611474186714,-0.12290143945605075,1.080417111174284,0.10784313725490197
train,asset_ticker,MTUM,1,2671,272,0.10183451890677649,56,46,4.857142857142857,-0.05487076340003183,-0.07149412845189923,2.012848631711406,0.27941176470588236
train,asset_ticker,MUB,1,3498,217,0.06203544882790166,35,35,6.2,-0.001999359219233332,-0.006966944619575255,2.594501817488021,0.9354838709677419
train,asset_ticker,PALL,1,3494,806,0.2306811677160847,162,142,4.9753086419753085,-0.06831234413665538,-0.0864623014975609,1.2445026062753386,0.05086848635235732
