split,group_type,group,n_assets,n_obs,positives,prevalence,contiguous_label_episodes,greedy_nonoverlap_positive_endpoints,mean_episode_windows,median_stressed_future_return,median_stressed_future_drawdown,median_stressed_volatility_ratio,volatility_only_positive_rate
train,family,Bonds,11,38478,1688,0.04386922397213992,363,321,4.650137741046832,-0.008265374227693634,-0.01572012776705023,2.3597557856470006,0.8287914691943128
train,family,Commodities,8,27504,4940,0.17961023851076208,1021,865,4.838393731635652,-0.06742600169691887,-0.0826042491961676,1.2085335063426728,0.08198380566801619
train,family,Crypto,13,27334,13529,0.49495134265017926,2176,1954,6.217371323529412,-0.08715873391059825,-0.12878878856360088,1.0351517161756127,0.08544607879370242
train,family,Equities,39,128491,13478,0.10489450623000833,3179,2617,4.239698018244731,-0.057229566952624156,-0.07131732462523482,1.6799391124160035,0.23453034574862738
train,family,FX,6,20988,517,0.024633123689727462,140,124,3.692857142857143,-0.01777089909944607,-0.02692155374606564,2.1859567723720463,0.7137330754352031
train,family,Real assets,3,8417,864,0.10264940002376144,219,164,3.9452054794520546,-0.05724095426061959,-0.07124235446236665,1.6623392678101088,0.19791666666666666
validation,family,Bonds,11,3267,57,0.017447199265381085,15,13,3.8,-0.007912057609516299,-0.013466379045823484,2.2955694567581393,0.9122807017543859
validation,family,Commodities,8,2376,400,0.16835016835016836,103,78,3.883495145631068,-0.06763376582144781,-0.08254474395302552,0.9977698913887474,0.0275
validation,family,Crypto,13,5694,2665,0.4680365296803653,453,396,5.883002207505519,-0.07740072666455888,-0.11212227934399055,1.044509426546337,0.07467166979362101
validation,family,Equities,39,11583,735,0.06345506345506345,230,176,3.1956521739130435,-0.05279297163403884,-0.05835807098195389,1.8629417663509247,0.37142857142857144
validation,family,FX,6,1782,54,0.030303030303030304,12,11,4.5,-0.001910778394522139,-0.008418515983660502,2.5700841175667484,1.0
validation,family,Real assets,3,891,68,0.07631874298540965,16,12,4.25,-0.05136104200223163,-0.05978741759687778,1.8336320548525546,0.4117647058823529
test,family,Bonds,11,3399,194,0.05707561047366873,35,30,5.542857142857143,-0.012269390203335395,-0.015681738322407213,2.337822061576453,0.9948453608247423
test,family,Commodities,8,2472,635,0.2568770226537217,136,108,4.669117647058823,-0.06449818226552917,-0.09102098846411544,1.221222270220294,0.18740157480314962
test,family,Crypto,13,5496,2593,0.4717976710334789,420,392,6.173809523809524,-0.08420613089343898,-0.11381551091637465,1.011363229393061,0.03548013883532588
test,family,Equities,39,12051,895,0.07426769562691893,225,189,3.977777777777778,-0.051254081443704025,-0.07365158332538335,2.1261064680635005,0.26927374301675977
test,family,FX,6,1854,89,0.04800431499460626,19,17,4.684210526315789,0.014588334685282867,-0.007882799176837652,2.375042268635085,0.9887640449438202
test,family,Real assets,3,927,39,0.042071197411003236,11,7,3.5454545454545454,-0.055248093448953206,-0.09618351466914155,2.205232117048151,0.07692307692307693
