model_variant,score,groups_with_both_classes,pair_weighted_within_asset_roc_auc,f1,balanced_accuracy,roc_auc,pr_auc
historical_frozen,transformer,67,0.49449289862322465,0.12625126010245802,0.534405631478236,0.5480044223477769,0.1800502325704491
historical_frozen,static_asset_prior,67,0.5,0.11560320727466017,0.5347222222222222,0.5,0.15334606564156547
historical_frozen,static_family_prior,67,0.5,0.10733229591386118,0.5347222222222222,0.5,0.15334606564156547
historical_frozen,within_asset_centred,67,0.49449289862322465,0.21317598449257286,0.4869188425125724,0.5480044223477769,0.1800502325704491
historical_frozen,asset_prior_residual,67,0.49449289862322465,0.20773674165790046,0.5050008034228705,0.5480044223477769,0.1800502325704491
historical_frozen,family_prior_residual,67,0.49449289862322465,0.20773605585737784,0.5081451671694615,0.5480044223477769,0.1800502325704491
legacy_target_purge18,transformer,67,0.5232130558032639,0.13367108900602748,0.5314605786907557,0.5802648180519977,0.17584323568195034
legacy_target_purge18,static_asset_prior,67,0.5,0.11560320727466017,0.5347222222222222,0.5,0.15334606564156547
legacy_target_purge18,static_family_prior,67,0.5,0.10733229591386118,0.5347222222222222,0.5,0.15334606564156547
legacy_target_purge18,within_asset_centred,67,0.5232130558032639,0.21042111350766624,0.48279833470676575,0.5802648180519977,0.17584323568195034
legacy_target_purge18,asset_prior_residual,67,0.5232130558032639,0.17905262965700308,0.49322253507188774,0.5802648180519977,0.17584323568195034
legacy_target_purge18,family_prior_residual,67,0.5232130558032639,0.19806007069772746,0.5074621646633669,0.5802648180519977,0.17584323568195034
corrected_asset_conditioned,transformer,74,0.49818376022790467,0.12111192776141708,0.528461860246583,0.5466437065927551,0.16494452271925228
corrected_asset_conditioned,static_asset_prior,74,0.5,0.10535988511108269,0.5316455696202531,0.5,0.14186738375655256
corrected_asset_conditioned,static_family_prior,74,0.5,0.09782183931389879,0.5316455696202531,0.5,0.14186738375655256
corrected_asset_conditioned,within_asset_centred,74,0.49818376022790467,0.17595875683185375,0.5006564733873446,0.5466437065927551,0.16494452271925228
corrected_asset_conditioned,asset_prior_residual,74,0.49818376022790467,0.1458360364546801,0.49857776228095246,0.5466437065927551,0.16494452271925228
corrected_asset_conditioned,family_prior_residual,74,0.49818376022790467,0.15078565257772134,0.4997884326533645,0.5466437065927551,0.16494452271925228
no_explicit_asset_id,transformer,74,0.47834308299945527,0.10891218453324128,0.5310008660285502,0.5207167239018957,0.157497165840302
no_explicit_asset_id,static_asset_prior,74,0.5,0.10535988511108269,0.5316455696202531,0.5,0.14186738375655256
no_explicit_asset_id,static_family_prior,74,0.5,0.09782183931389879,0.5316455696202531,0.5,0.14186738375655256
no_explicit_asset_id,within_asset_centred,74,0.47834308299945527,0.1862225040512742,0.5014056319301031,0.5207167239018957,0.157497165840302
no_explicit_asset_id,asset_prior_residual,74,0.47834308299945527,0.16860304545194135,0.4814095366091126,0.5207167239018957,0.157497165840302
no_explicit_asset_id,family_prior_residual,74,0.47834308299945527,0.1765457336096961,0.47825398200303704,0.5207167239018957,0.157497165840302
no_macro,transformer,74,0.500518417695324,0.10851467385213219,0.5311158765938312,0.509678665470518,0.14872832662115443
no_macro,static_asset_prior,74,0.5,0.10535988511108269,0.5316455696202531,0.5,0.14186738375655256
no_macro,static_family_prior,74,0.5,0.09782183931389879,0.5316455696202531,0.5,0.14186738375655256
no_macro,within_asset_centred,74,0.500518417695324,0.1759187865516175,0.5262583056765355,0.509678665470518,0.14872832662115443
no_macro,asset_prior_residual,74,0.500518417695324,0.16434186298501102,0.469915569685411,0.509678665470518,0.14872832662115443
no_macro,family_prior_residual,74,0.500518417695324,0.14829172410827246,0.48607585767842615,0.509678665470518,0.14872832662115443
