ticker,rows,observed_close_rows,missing_close_rows,missing_close_fraction,duplicate_dates,target_on_missing_close_rows
ADA-USD,5482,3149,2333,0.42557460780736955,0,0
AGG,4142,4142,0,0.0,0,0
AVAX-USD,5482,2103,3379,0.6163808828894564,0,0
BCH-USD,5482,3149,2333,0.42557460780736955,0,0
BND,4142,4142,0,0.0,0,0
BTC-USD,5482,4298,1184,0.2159795695001824,0,0
CPER,4142,3670,472,0.11395461129888942,0,0
DBA,4142,4142,0,0.0,0,0
DIA,4142,4142,0,0.0,0,0
DOGE-USD,5482,3149,2333,0.42557460780736955,0,0
DOT-USD,5482,2134,3348,0.6107260124042321,0,0
EEM,4142,4142,0,0.0,0,0
EFA,4142,4142,0,0.0,0,0
EMB,4142,4142,0,0.0,0,0
ETH-USD,5482,3149,2333,0.42557460780736955,0,0
EWA,4142,4142,0,0.0,0,0
EWC,4142,4142,0,0.0,0,0
EWJ,4142,4142,0,0.0,0,0
EWU,4142,4142,0,0.0,0,0
EWZ,4142,4142,0,0.0,0,0
FXA,5482,4142,1340,0.244436337103247,0,0
FXB,5482,4142,1340,0.244436337103247,0,0
FXC,5482,4142,1340,0.244436337103247,0,0
FXE,5482,4142,1340,0.244436337103247,0,0
FXI,4142,4142,0,0.0,0,0
FXY,5482,4142,1340,0.244436337103247,0,0
GLD,4142,4142,0,0.0,0,0
HYG,4142,4142,0,0.0,0,0
IEF,4142,4142,0,0.0,0,0
IFRA,4142,2065,2077,0.5014485755673588,0,0
INDA,4142,3616,526,0.1269917914051183,0,0
IWD,4142,4142,0,0.0,0,0
IWF,4142,4142,0,0.0,0,0
IWM,4142,4142,0,0.0,0,0
IYR,4142,4142,0,0.0,0,0
JNK,4142,4142,0,0.0,0,0
LINK-USD,5482,3149,2333,0.42557460780736955,0,0
LQD,4142,4142,0,0.0,0,0
LTC-USD,5482,4298,1184,0.2159795695001824,0,0
MTUM,4142,3315,827,0.19966199903428294,0,0
MUB,4142,4142,0,0.0,0,0
PALL,4142,4138,4,0.0009657170449058426,0,0
PPLT,4142,4138,4,0.0009657170449058426,0,0
QQQ,4142,4142,0,0.0,0,0
QUAL,4142,3252,890,0.21487204249154998,0,0
SHY,4142,4142,0,0.0,0,0
SIZE,4142,3315,827,0.19966199903428294,0,0
SLV,4142,4142,0,0.0,0,0
SOL-USD,5482,2266,3216,0.5866472090477928,0,0
SPY,4142,4142,0,0.0,0,0
TIP,4142,4142,0,0.0,0,0
TLT,4142,4142,0,0.0,0,0
UNG,4142,4142,0,0.0,0,0
UNI-USD,5482,2006,3476,0.6340751550529004,0,0
USMV,4142,3688,454,0.10960888459681313,0,0
USO,4142,4142,0,0.0,0,0
UUP,5482,4142,1340,0.244436337103247,0,0
VEA,4142,4142,0,0.0,0,0
VGK,4142,4142,0,0.0,0,0
VLUE,4142,3315,827,0.19966199903428294,0,0
VNQ,4142,4142,0,0.0,0,0
VT,4142,4142,0,0.0,0,0
VTI,4142,4142,0,0.0,0,0
VTV,4142,4142,0,0.0,0,0
VUG,4142,4142,0,0.0,0,0
VWO,4142,4142,0,0.0,0,0
XBI,5482,4142,1340,0.244436337103247,0,0
XLB,4142,4142,0,0.0,0,0
XLC,4142,2013,2129,0.5140028971511347,0,0
XLE,4142,4142,0,0.0,0,0
XLF,4142,4142,0,0.0,0,0
XLI,4142,4142,0,0.0,0,0
XLK,4142,4142,0,0.0,0,0
XLM-USD,5482,3149,2333,0.42557460780736955,0,0
XLP,4142,4142,0,0.0,0,0
XLRE,4142,2691,1451,0.3503138580395944,0,0
XLU,4142,4142,0,0.0,0,0
XLV,4142,4142,0,0.0,0,0
XLY,4142,4142,0,0.0,0,0
XRP-USD,5482,3149,2333,0.42557460780736955,0,0
