model,identity_variant,seed,status,parameter_count,train_windows,validation_windows,test_windows,checkpoint,prediction,config_sha256,endpoint_sha256,runtime_seconds,best_epoch,best_validation_loss,iterations
mlp,asset_conditioned,7,completed,270721.0,245055,20494,21514,results/runs/prp1_fixed_cross_model_20260715/checkpoints/mlp_asset_conditioned_seed7.pt,results/runs/prp1_fixed_cross_model_20260715/predictions/mlp_asset_conditioned_seed7.parquet,ba9059db65e951848cb9d4b3a0c0dc83faad470ad52d4825233be0af80cc43eb,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60,24.968738700001268,1.0,0.6569815919645196,
mlp,asset_conditioned,42,completed,270721.0,245055,20494,21514,results/runs/prp1_fixed_cross_model_20260715/checkpoints/mlp_asset_conditioned_seed42.pt,results/runs/prp1_fixed_cross_model_20260715/predictions/mlp_asset_conditioned_seed42.parquet,ba9059db65e951848cb9d4b3a0c0dc83faad470ad52d4825233be0af80cc43eb,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60,34.293888299987884,3.0,0.6862772722133511,
mlp,asset_conditioned,123,completed,270721.0,245055,20494,21514,results/runs/prp1_fixed_cross_model_20260715/checkpoints/mlp_asset_conditioned_seed123.pt,results/runs/prp1_fixed_cross_model_20260715/predictions/mlp_asset_conditioned_seed123.parquet,ba9059db65e951848cb9d4b3a0c0dc83faad470ad52d4825233be0af80cc43eb,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60,29.023800299997674,2.0,0.6182107646034627,
mlp,no_explicit_asset_id,7,completed,269761.0,245055,20494,21514,results/runs/prp1_fixed_cross_model_20260715/checkpoints/mlp_no_explicit_asset_id_seed7.pt,results/runs/prp1_fixed_cross_model_20260715/predictions/mlp_no_explicit_asset_id_seed7.parquet,ba9059db65e951848cb9d4b3a0c0dc83faad470ad52d4825233be0af80cc43eb,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60,28.435558400000446,2.0,0.7240797438144079,
mlp,no_explicit_asset_id,42,completed,269761.0,245055,20494,21514,results/runs/prp1_fixed_cross_model_20260715/checkpoints/mlp_no_explicit_asset_id_seed42.pt,results/runs/prp1_fixed_cross_model_20260715/predictions/mlp_no_explicit_asset_id_seed42.parquet,ba9059db65e951848cb9d4b3a0c0dc83faad470ad52d4825233be0af80cc43eb,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60,27.899686399992788,2.0,0.7258142172574787,
mlp,no_explicit_asset_id,123,completed,269761.0,245055,20494,21514,results/runs/prp1_fixed_cross_model_20260715/checkpoints/mlp_no_explicit_asset_id_seed123.pt,results/runs/prp1_fixed_cross_model_20260715/predictions/mlp_no_explicit_asset_id_seed123.parquet,ba9059db65e951848cb9d4b3a0c0dc83faad470ad52d4825233be0af80cc43eb,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60,21.78108909999719,1.0,0.725826359364048,
lstm,asset_conditioned,7,completed,279025.0,245055,20494,21514,results/runs/prp1_fixed_cross_model_20260715/checkpoints/lstm_asset_conditioned_seed7.pt,results/runs/prp1_fixed_cross_model_20260715/predictions/lstm_asset_conditioned_seed7.parquet,ba9059db65e951848cb9d4b3a0c0dc83faad470ad52d4825233be0af80cc43eb,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60,48.04726959997788,4.0,0.9563386623389641,
lstm,asset_conditioned,42,completed,279025.0,245055,20494,21514,results/runs/prp1_fixed_cross_model_20260715/checkpoints/lstm_asset_conditioned_seed42.pt,results/runs/prp1_fixed_cross_model_20260715/predictions/lstm_asset_conditioned_seed42.parquet,ba9059db65e951848cb9d4b3a0c0dc83faad470ad52d4825233be0af80cc43eb,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60,27.307951700000558,1.0,0.9964159547590425,
lstm,asset_conditioned,123,completed,279025.0,245055,20494,21514,results/runs/prp1_fixed_cross_model_20260715/checkpoints/lstm_asset_conditioned_seed123.pt,results/runs/prp1_fixed_cross_model_20260715/predictions/lstm_asset_conditioned_seed123.parquet,ba9059db65e951848cb9d4b3a0c0dc83faad470ad52d4825233be0af80cc43eb,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60,34.01995139999781,2.0,0.9597824358458494,
lstm,no_explicit_asset_id,7,completed,278065.0,245055,20494,21514,results/runs/prp1_fixed_cross_model_20260715/checkpoints/lstm_no_explicit_asset_id_seed7.pt,results/runs/prp1_fixed_cross_model_20260715/predictions/lstm_no_explicit_asset_id_seed7.parquet,ba9059db65e951848cb9d4b3a0c0dc83faad470ad52d4825233be0af80cc43eb,47527d25a7a7f1a293c14ee7f6aaa254be3163d14a2c6f2149b687357d9c4a60,27.501347700017504,1.0,0.786612108525758,
