model,identity_variant,seed,probe_label,train_rows,test_rows,accuracy,balanced_accuracy,chance_accuracy,status
mlp,asset_conditioned,7,asset_id,10112,10112,0.15615110759493672,0.15615110759493672,0.012658227848101266,completed
mlp,asset_conditioned,7,family_id,10112,10112,0.513943829113924,0.3703114376942502,0.16666666666666666,completed
mlp,asset_conditioned,42,asset_id,10112,10112,0.19659810126582278,0.19659810126582278,0.012658227848101266,completed
mlp,asset_conditioned,42,family_id,10112,10112,0.21706882911392406,0.2227761387917638,0.16666666666666666,completed
mlp,asset_conditioned,123,asset_id,10112,10112,0.16702927215189872,0.16702927215189872,0.012658227848101266,completed
mlp,asset_conditioned,123,family_id,10112,10112,0.325059335443038,0.40903324106449107,0.16666666666666666,completed
mlp,no_explicit_asset_id,7,asset_id,10112,10112,0.01661392405063291,0.01661392405063291,0.012658227848101266,completed
mlp,no_explicit_asset_id,7,family_id,10112,10112,0.1518987341772152,0.16677517361111113,0.16666666666666666,completed
mlp,no_explicit_asset_id,42,asset_id,10112,10112,0.014042721518987342,0.014042721518987342,0.012658227848101266,completed
mlp,no_explicit_asset_id,42,family_id,10112,10112,0.15150316455696203,0.1662326388888889,0.16666666666666666,completed
mlp,no_explicit_asset_id,123,asset_id,10112,10112,0.013152689873417722,0.013152689873417722,0.012658227848101266,completed
mlp,no_explicit_asset_id,123,family_id,10112,10112,0.15377768987341772,0.17111545138888887,0.16666666666666666,completed
lstm,asset_conditioned,7,asset_id,10112,10112,0.07060917721518987,0.07060917721518987,0.012658227848101266,completed
lstm,asset_conditioned,7,family_id,10112,10112,0.34721123417721517,0.3093293967317404,0.16666666666666666,completed
lstm,asset_conditioned,42,asset_id,10112,10112,0.0546875,0.0546875,0.012658227848101266,completed
lstm,asset_conditioned,42,family_id,10112,10112,0.13419699367088608,0.2776116028069153,0.16666666666666666,completed
lstm,asset_conditioned,123,asset_id,10112,10112,0.043908227848101264,0.043908227848101264,0.012658227848101266,completed
lstm,asset_conditioned,123,family_id,10112,10112,0.29964398734177217,0.2484042650058275,0.16666666666666666,completed
lstm,no_explicit_asset_id,7,asset_id,10112,10112,0.01127373417721519,0.01127373417721519,0.012658227848101266,completed
lstm,no_explicit_asset_id,7,family_id,10112,10112,0.07980617088607594,0.19010416666666666,0.16666666666666666,completed
lstm,no_explicit_asset_id,42,asset_id,10112,10112,0.021261867088607594,0.021261867088607594,0.012658227848101266,completed
lstm,no_explicit_asset_id,42,family_id,10112,10112,0.14092167721518986,0.1756310096153846,0.16666666666666666,completed
lstm,no_explicit_asset_id,123,asset_id,10112,10112,0.01720727848101266,0.01720727848101266,0.012658227848101266,completed
lstm,no_explicit_asset_id,123,family_id,10112,10112,0.2242879746835443,0.23270528299825174,0.16666666666666666,completed
tcn,asset_conditioned,7,asset_id,10112,10112,0.14319620253164558,0.14319620253164558,0.012658227848101266,completed
tcn,asset_conditioned,7,family_id,10112,10112,0.19115901898734178,0.362508801961927,0.16666666666666666,completed
tcn,asset_conditioned,42,asset_id,10112,10112,0.040446993670886076,0.040446993670886076,0.012658227848101266,completed
tcn,asset_conditioned,42,family_id,10112,10112,0.22784810126582278,0.25261137516996895,0.16666666666666666,completed
tcn,asset_conditioned,123,asset_id,10112,10112,0.0647745253164557,0.0647745253164557,0.012658227848101266,completed
tcn,asset_conditioned,123,family_id,10112,10112,0.20411392405063292,0.33199976022241645,0.16666666666666666,completed
tcn,no_explicit_asset_id,7,asset_id,10112,10112,0.012954905063291139,0.012954905063291139,0.012658227848101266,completed
tcn,no_explicit_asset_id,7,family_id,10112,10112,0.15199762658227847,0.16678503787878787,0.16666666666666666,completed
tcn,no_explicit_asset_id,42,asset_id,10112,10112,0.01928401898734177,0.01928401898734177,0.012658227848101266,completed
tcn,no_explicit_asset_id,42,family_id,10112,10112,0.2077729430379747,0.24692614243395494,0.16666666666666666,completed
tcn,no_explicit_asset_id,123,asset_id,10112,10112,0.015328322784810127,0.015328322784810127,0.012658227848101266,completed
tcn,no_explicit_asset_id,123,family_id,10112,10112,0.14912974683544303,0.23356119791666666,0.16666666666666666,completed
transformer_encoder,asset_conditioned,7,asset_id,10112,10112,0.2599881329113924,0.2599881329113924,0.012658227848101266,completed
transformer_encoder,asset_conditioned,7,family_id,10112,10112,0.3422666139240506,0.37667199337121215,0.16666666666666666,completed
transformer_encoder,asset_conditioned,42,asset_id,10112,10112,0.15892009493670886,0.15892009493670886,0.012658227848101266,completed
transformer_encoder,asset_conditioned,42,family_id,10112,10112,0.14487737341772153,0.2096509718580031,0.16666666666666666,completed
transformer_encoder,asset_conditioned,123,asset_id,10112,10112,0.08109177215189874,0.08109177215189874,0.012658227848101266,completed
transformer_encoder,asset_conditioned,123,family_id,10112,10112,0.40812895569620256,0.41047494172494176,0.16666666666666666,completed
transformer_encoder,no_explicit_asset_id,7,asset_id,10112,10112,0.033623417721518986,0.033623417721518986,0.012658227848101266,completed
transformer_encoder,no_explicit_asset_id,7,family_id,10112,10112,0.2479232594936709,0.31589558445027194,0.16666666666666666,completed
transformer_encoder,no_explicit_asset_id,42,asset_id,10112,10112,0.027986550632911392,0.027986550632911392,0.012658227848101266,completed
transformer_encoder,no_explicit_asset_id,42,family_id,10112,10112,0.15625,0.20801160644910643,0.16666666666666666,completed
transformer_encoder,no_explicit_asset_id,123,asset_id,10112,10112,0.02076740506329114,0.02076740506329114,0.012658227848101266,completed
transformer_encoder,no_explicit_asset_id,123,family_id,10112,10112,0.08742088607594936,0.17762586805555558,0.16666666666666666,completed
