model,seed,n_obs,original_roc_auc,swapped_roc_auc,roc_auc_change,prediction_spearman,mean_absolute_probability_displacement,represented_ids,unused_ids_introduced,status
mlp,7,21514,0.7276497581651873,0.5038644358231711,-0.2237853223420162,0.09682365052275815,0.41072500224105873,79,False,completed
mlp,42,21514,0.6496080787704356,0.46323049647411485,-0.18637758229632073,0.24858475753170622,0.3104416914839747,79,False,completed
mlp,123,21514,0.7700640805688859,0.5342133000788012,-0.23585078049008468,0.18340548852732794,0.4113881089045481,79,False,completed
lstm,7,21514,0.6376434233831076,0.6373614934060736,-0.00028192997703402334,0.5406990814209803,0.06966889775161371,79,False,completed
lstm,42,21514,0.6344966783071262,0.5428982730569389,-0.09159840525018725,0.4873126620492754,0.0015242990128099723,79,False,completed
lstm,123,21514,0.6917228271212854,0.5666278704576105,-0.12509495666367487,0.30447269432382656,0.01529878725133583,79,False,completed
tcn,7,21514,0.7140770887715608,0.5163733909900214,-0.1977036977815394,0.19313748847764706,0.3148580731491117,79,False,completed
tcn,42,21514,0.6939492779605071,0.5173124789618347,-0.17663679899867235,0.5006761884567217,0.027549160665238177,79,False,completed
tcn,123,21514,0.7179361994370087,0.4917244254669768,-0.2262117739700319,0.1483262409168831,0.44787198416602325,79,False,completed
transformer_encoder,7,21514,0.7070763585942369,0.6089800952949349,-0.09809626329930199,0.6729749651984692,0.18639436590328942,79,False,completed
transformer_encoder,42,21514,0.7560033169585132,0.5032435160456423,-0.25275980091287087,0.18131344240533312,0.18513943969165186,79,False,completed
transformer_encoder,123,21514,0.7790503680562197,0.7090490700590046,-0.0700012979972151,0.6174976911660902,0.21723035477277897,79,False,completed
flattened_logistic,7,21514,0.5759629677514355,0.4768508288236752,-0.09911213892776033,0.9258099055029184,0.08726101654508728,79,False,completed
flattened_logistic,42,21514,0.5760030940523608,0.47681480616753225,-0.09918828788482859,0.9257638440558473,0.08730531707212903,79,False,completed
flattened_logistic,123,21514,0.5766779120904441,0.4770428937702249,-0.09963501832021915,0.9250586129998675,0.08751029253756665,79,False,completed
