model,identity_variant,seed,stride,selection_rule,n_obs,assets,pooled_roc_auc,pair_weighted_within_asset_roc_auc,eligible_assets,status
flattened_logistic,asset_conditioned,7,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.6043970931188977,0.4968705547652916,62,completed
flattened_logistic,asset_conditioned,42,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.6040293784654687,0.49559032716927454,62,completed
flattened_logistic,asset_conditioned,123,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.6044390254916572,0.4963015647226173,62,completed
flattened_logistic,asset_conditioned,ensemble,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.6042987133212697,0.4961593172119488,62,completed
flattened_logistic,no_explicit_asset_id,7,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.44970776361753806,0.5120199146514935,62,completed
flattened_logistic,no_explicit_asset_id,42,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.4492513458678872,0.5123044096728308,62,completed
flattened_logistic,no_explicit_asset_id,123,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.4505077042671028,0.5114509246088194,62,completed
flattened_logistic,no_explicit_asset_id,ensemble,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.44969889330791585,0.511877667140825,62,completed
mlp,asset_conditioned,7,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.7200989926553836,0.4950213371266003,62,completed
mlp,asset_conditioned,42,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.6485083364782613,0.5237553342816501,62,completed
mlp,asset_conditioned,123,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.7638328446599123,0.5241109530583214,62,completed
mlp,asset_conditioned,ensemble,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.7925315218548302,0.5332147937411096,62,completed
mlp,no_explicit_asset_id,7,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.47288023791783185,0.4844950213371266,62,completed
mlp,no_explicit_asset_id,42,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.4801490534573241,0.4887624466571835,62,completed
mlp,no_explicit_asset_id,123,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.4828867535634453,0.4785206258890469,62,completed
mlp,no_explicit_asset_id,ensemble,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.4712884205365408,0.48229018492176384,62,completed
lstm,asset_conditioned,7,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.66001716001716,0.509103840682788,62,completed
lstm,asset_conditioned,42,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.6384494053666986,0.5385490753911807,62,completed
lstm,asset_conditioned,123,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.685344313163862,0.5334281650071123,62,completed
lstm,asset_conditioned,ensemble,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.7162549230218402,0.5524893314366999,62,completed
lstm,no_explicit_asset_id,7,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.7656891585463014,0.4482930298719772,62,completed
lstm,no_explicit_asset_id,42,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.7652270960541638,0.5174964438122333,62,completed
lstm,no_explicit_asset_id,123,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.7046170767975279,0.4829302987197724,62,completed
lstm,no_explicit_asset_id,ensemble,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.7793083093834974,0.48406827880512093,62,completed
tcn,asset_conditioned,7,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.7205739574160626,0.5819345661450924,62,completed
tcn,asset_conditioned,42,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.6801414733745561,0.49274537695590326,62,completed
tcn,asset_conditioned,123,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.7293079868267839,0.4601706970128023,62,completed
tcn,asset_conditioned,ensemble,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.7876012424884605,0.5739687055476529,62,completed
tcn,no_explicit_asset_id,7,10,every_tenth_test_origin_within_asset_from_first_scored_origin,2155,79,0.7207207207207207,0.5435277382645803,62,completed
