model,identity_variant,seed,aggregation,calibration_method,threshold,status,n_obs,positives,prevalence,roc_auc,pr_auc,f1,balanced_accuracy,brier_score,log_loss,prediction_positive_rate,degenerate_prediction,per_asset_macro_roc_auc,pair_weighted_within_asset_roc_auc,eligible_assets,within_asset_estimate,within_asset_ci_lower,within_asset_ci_upper,within_asset_valid_draw_fraction
mlp,asset_conditioned,7,pooled,isotonic,0.23,completed,21514,3471,0.16133680394161942,0.7276497581651873,0.2861812086866426,0.4174436090225564,0.7044350005260489,0.12462951621907573,0.39967080593358645,0.4568652970158966,False,0.5792180519606848,0.544076171133308,74.0,,,,
mlp,asset_conditioned,7,equal_asset,isotonic,0.23,completed,21514,3471,0.13288843541753018,0.7174511997588917,0.24377351636897351,0.364803500245675,0.6938904252687319,0.1115753067150921,0.36937793047388645,0.41291024455568665,False,,,,,,,
mlp,asset_conditioned,7,equal_date,isotonic,0.23,completed,21514,3471,0.2600330538107536,0.7102975927419919,0.386237198417403,0.5347349455525456,0.692344933157091,0.16976256684863153,0.5043369181642334,0.6130073653668335,False,,,,,,,
mlp,asset_conditioned,7,equal_family,isotonic,0.23,completed,21514,3471,0.1464612135695259,0.7403080947100442,0.2864844949630369,0.41485858501837464,0.7146186096216987,0.11369552040513387,0.3708605916239612,0.38181847637389205,False,,,,,,,
mlp,asset_conditioned,42,pooled,isotonic,0.21,completed,21514,3471,0.16133680394161942,0.6496080787704356,0.22780764395372033,0.33900582176444244,0.6149793126005383,0.13699973204073967,0.4379395143776392,0.46142047039137307,False,0.5927674267795234,0.5291764625565886,74.0,,,,
mlp,asset_conditioned,42,equal_asset,isotonic,0.21,completed,21514,3471,0.13288843541753018,0.6468529976726336,0.1905641765065724,0.2947721889219607,0.6126388902017917,0.12311676033843508,0.40478777721047215,0.43956394477569105,False,,,,,,,
mlp,asset_conditioned,42,equal_date,isotonic,0.21,completed,21514,3471,0.2600330538107536,0.6100068858976841,0.318901742601206,0.4254305619042666,0.5806490141703905,0.189257908229641,0.5671340484398701,0.5130567866594394,False,,,,,,,
mlp,asset_conditioned,42,equal_family,isotonic,0.21,completed,21514,3471,0.1464612135695259,0.650750267492169,0.21412651377501887,0.3228227587504883,0.6208155479505033,0.12917854745991944,0.42033494652741626,0.4391841379303596,False,,,,,,,
mlp,asset_conditioned,123,pooled,isotonic,0.23,completed,21514,3471,0.16133680394161942,0.7700640805688859,0.35823378127047173,0.4579172610556348,0.726459373844802,0.11940987405786153,0.381407903791801,0.359998140745561,False,0.5410304937319221,0.5435584645733685,74.0,,,,
mlp,asset_conditioned,123,equal_asset,isotonic,0.23,completed,21514,3471,0.13288843541753018,0.7574728511221847,0.3144402928784154,0.40799878494223724,0.7134357789154357,0.10684986708184836,0.35112979474071204,0.3104847112839971,False,,,,,,,
mlp,asset_conditioned,123,equal_date,isotonic,0.23,completed,21514,3471,0.2600330538107536,0.7526211171120866,0.438118412937613,0.5596001949616562,0.7165881773023974,0.16155794922981348,0.48273109981879214,0.5358782641966648,False,,,,,,,
mlp,asset_conditioned,123,equal_family,isotonic,0.23,completed,21514,3471,0.1464612135695259,0.7814551159477143,0.365808916402119,0.46568243331613285,0.7380880819560336,0.10699017800489934,0.3485797102004691,0.294335837546165,False,,,,,,,
mlp,asset_conditioned,ensemble,pooled,isotonic,0.24,completed,21514,3471,0.16133680394161942,0.7964776612507657,0.4062604603686256,0.4963620053822386,0.7458447123650784,0.11289154889440783,0.3653294341645679,0.30501069071302406,False,0.6082100146334711,0.5569669222487239,74.0,0.5569669222487239,0.5048314893963152,0.6008237040102657,1.0
mlp,asset_conditioned,ensemble,equal_asset,isotonic,0.24,completed,21514,3471,0.1328884354175302,0.7841154599497668,0.3679685906661856,0.45267679539859107,0.732466655180499,0.10016579747948713,0.33480874484862716,0.2514296463986226,False,,,,,,,
mlp,asset_conditioned,ensemble,equal_date,isotonic,0.24,completed,21514,3471,0.2600330538107536,0.7727013596943254,0.46767100652604454,0.5699075371252053,0.7236054622138767,0.1574177275928662,0.4725921883311867,0.47964427297558687,False,,,,,,,
mlp,asset_conditioned,ensemble,equal_family,isotonic,0.24,completed,21514,3471,0.1464612135695259,0.7985772037649996,0.3982653440459412,0.5049392141774823,0.7491423688830816,0.10192193663573658,0.3370046593666989,0.23878989076973964,False,,,,,,,
mlp,no_explicit_asset_id,7,pooled,isotonic,0.15,completed,21514,3471,0.16133680394161942,0.5283088737741699,0.17201739099981708,0.2810100595360296,0.5090419421717252,0.13582325163542738,0.4445204259237137,0.9707167425862229,True,0.6358858377587675,0.5507039529171485,74.0,,,,
mlp,no_explicit_asset_id,7,equal_asset,isotonic,0.15,completed,21514,3471,0.13288843541753018,0.5377686606933381,0.14599898685921084,0.23700406070111896,0.5078413609860757,0.11811921833199124,0.40311731395492245,0.9690011797340816,True,,,,,,,
mlp,no_explicit_asset_id,7,equal_date,isotonic,0.15,completed,21514,3471,0.2600330538107536,0.5057469751124508,0.26276053815893,0.4173406943257961,0.5110682063385442,0.19739011917870433,0.5886566006555873,0.9735038102222363,True,,,,,,,
mlp,no_explicit_asset_id,7,equal_family,isotonic,0.15,completed,21514,3471,0.1464612135695259,0.5198595310441141,0.15475473672152595,0.25656584447138564,0.5048540508583924,0.12686372786949165,0.42482925677433575,0.9668048103589667,True,,,,,,,
mlp,no_explicit_asset_id,42,pooled,platt,0.0,completed,21514,3471,0.16133680394161942,0.498961147154259,0.1610358775333827,0.27784670802481487,0.5,0.13580546173663063,0.4432216628087348,1.0,True,0.5292273227486626,0.5100782106695908,74.0,,,,
mlp,no_explicit_asset_id,42,equal_asset,platt,0.0,completed,21514,3471,0.13288843541753018,0.5021757532636866,0.13340614831744524,0.23460109797756223,0.5,0.11688155334730024,0.39744442602442487,1.0,True,,,,,,,
mlp,no_explicit_asset_id,42,equal_date,platt,0.0,completed,21514,3471,0.2600330538107536,0.47157208693280483,0.24851694074894717,0.41274005157945887,0.5,0.20047979729195203,0.5988568613341269,1.0,True,,,,,,,
mlp,no_explicit_asset_id,42,equal_family,platt,0.0,completed,21514,3471,0.1464612135695259,0.49873709461580895,0.14608321246028197,0.2555013843225328,0.5,0.12600930901821808,0.41956305973026603,1.0,True,,,,,,,
mlp,no_explicit_asset_id,123,pooled,platt,0.0,completed,21514,3471,0.16133680394161942,0.49010681499953385,0.1586908901897686,0.27784670802481487,0.5,0.13751974434878347,0.44732168560569774,1.0,True,0.5151712884047471,0.49842412398787656,74.0,,,,
mlp,no_explicit_asset_id,123,equal_asset,platt,0.0,completed,21514,3471,0.13288843541753018,0.4944436875543836,0.13164008492563856,0.23460109797756223,0.5,0.11951303950277649,0.40376454501807846,1.0,True,,,,,,,
mlp,no_explicit_asset_id,123,equal_date,platt,0.0,completed,21514,3471,0.2600330538107536,0.4572662049556399,0.24368850011236134,0.41274005157945887,0.5,0.19550640376524736,0.5877056656114247,1.0,True,,,,,,,
mlp,no_explicit_asset_id,123,equal_family,platt,0.0,completed,21514,3471,0.1464612135695259,0.49376712665730577,0.14493392136143882,0.2555013843225328,0.5,0.12838332700560384,0.42524283500075083,1.0,True,,,,,,,
mlp,no_explicit_asset_id,ensemble,pooled,isotonic,0.15,completed,21514,3471,0.16133680394161942,0.5249794845703994,0.17034501428367513,0.28081290110251766,0.5087985257791844,0.13575251502124377,0.4439979794660551,0.9685321186204332,True,0.6224788387179576,0.5446863252932367,74.0,0.5446863252932367,0.4768432044434716,0.6048465883982393,1.0
mlp,no_explicit_asset_id,ensemble,equal_asset,isotonic,0.15,completed,21514,3471,0.1328884354175302,0.5331585639731569,0.1437496399174725,0.23690438638808212,0.5077357036705589,0.11800644993579866,0.40198915051252565,0.9668839077894334,True,,,,,,,
mlp,no_explicit_asset_id,ensemble,equal_date,isotonic,0.15,completed,21514,3471,0.2600330538107536,0.5016809564107181,0.26095402831531334,0.41614125761115295,0.5096607126059035,0.19763727129323982,0.5934156391240194,0.9696909309271009,True,,,,,,,
mlp,no_explicit_asset_id,ensemble,equal_family,isotonic,0.15,completed,21514,3471,0.1464612135695259,0.5154718758650728,0.15255602019469028,0.2564592847859532,0.5047896279708195,0.12673108583106463,0.4229909093439179,0.9644348782339964,True,,,,,,,
lstm,asset_conditioned,7,pooled,isotonic,0.16,completed,21514,3471,0.16133680394161942,0.6376434233831076,0.26894211992618466,0.3092475176456514,0.5769102310778345,0.13256195766136153,0.43411181655958314,0.6157385888258808,False,0.5487470370983556,0.4896565358319786,74.0,,,,
lstm,asset_conditioned,7,equal_asset,isotonic,0.16,completed,21514,3471,0.13288843541753018,0.615693200545248,0.22646214274732543,0.256899099168155,0.5627159734299246,0.11699561171552429,0.39674898498191574,0.58934821286229,False,,,,,,,
lstm,asset_conditioned,7,equal_date,isotonic,0.16,completed,21514,3471,0.2600330538107536,0.6186013315258083,0.3410847687478673,0.4361075501723588,0.5707960147925727,0.18987553526197856,0.5769063531258195,0.7016946720658099,False,,,,,,,
lstm,asset_conditioned,7,equal_family,isotonic,0.16,completed,21514,3471,0.1464612135695259,0.5815370576350561,0.20676014878547222,0.26359980146667944,0.5417532010661873,0.13181364140791427,0.4328615177277108,0.6046123504958518,False,,,,,,,
lstm,asset_conditioned,42,pooled,isotonic,0.16,completed,21514,3471,0.16133680394161942,0.6344966783071262,0.23363348529296962,0.2950398582816652,0.5425996251184768,0.13494568350807765,0.45238721552232647,0.8882123268569304,False,0.5983225564115299,0.5371660686018083,74.0,,,,
lstm,asset_conditioned,42,equal_asset,isotonic,0.16,completed,21514,3471,0.13288843541753018,0.6262256321212704,0.19272408317881837,0.24978429327807786,0.5414692043857297,0.1180247331826847,0.4101838000848108,0.880383891847081,False,,,,,,,
lstm,asset_conditioned,42,equal_date,isotonic,0.16,completed,21514,3471,0.2600330538107536,0.6309242262921223,0.3451389231823652,0.42954287616431824,0.5376997674273669,0.19462778167457173,0.6264797403285616,0.9133480002975904,False,,,,,,,
lstm,asset_conditioned,42,equal_family,isotonic,0.16,completed,21514,3471,0.1464612135695259,0.6092249079734374,0.2037022569178773,0.2675250032462342,0.5328623233495944,0.1268311769266267,0.43381373213572155,0.8957411447354772,False,,,,,,,
lstm,asset_conditioned,123,pooled,isotonic,0.2,completed,21514,3471,0.16133680394161942,0.6917228271212854,0.33314862745149304,0.38128125744224817,0.6384564719771438,0.12543035510874925,0.40969457497556594,0.22901366552012642,False,0.5707961484861568,0.5277925930982889,74.0,,,,
lstm,asset_conditioned,123,equal_asset,isotonic,0.2,completed,21514,3471,0.13288843541753018,0.6930408050268793,0.30069666865425165,0.35368573386357904,0.6413068135457127,0.10784377661376349,0.36441703737153336,0.20623499027516504,False,,,,,,,
lstm,asset_conditioned,123,equal_date,isotonic,0.2,completed,21514,3471,0.2600330538107536,0.6867754093514988,0.43474587458960234,0.4674876155167041,0.6356569481447114,0.18171592294254543,0.5527677689531032,0.32621773002157534,False,,,,,,,
lstm,asset_conditioned,123,equal_family,isotonic,0.2,completed,21514,3471,0.1464612135695259,0.7337925953396957,0.34474887405856036,0.40422791800652436,0.6657305359804925,0.11302989455659622,0.37526074613602695,0.21264361743769802,False,,,,,,,
lstm,asset_conditioned,ensemble,pooled,isotonic,0.19,completed,21514,3471,0.16133680394161942,0.6928695962443059,0.3113218279138799,0.3442976156276932,0.6220450703785458,0.1286198500587207,0.41830678952284955,0.4858696662638282,False,0.5733968521377139,0.5183437372440091,74.0,0.5183437372440091,0.4599873338215332,0.5741687451367772,1.0
lstm,asset_conditioned,ensemble,equal_asset,isotonic,0.19,completed,21514,3471,0.1328884354175302,0.6756845999632274,0.2673103693305431,0.29066053059013164,0.6081664427960467,0.11413209280384737,0.3847096462622918,0.4513107802187291,False,,,,,,,
lstm,asset_conditioned,ensemble,equal_date,isotonic,0.19,completed,21514,3471,0.2600330538107536,0.6842382582239412,0.3974633315468292,0.47276560710406457,0.6219563615446188,0.17909739611764333,0.5350987612250023,0.614567058848537,False,,,,,,,
lstm,asset_conditioned,ensemble,equal_family,isotonic,0.19,completed,21514,3471,0.1464612135695259,0.6471221642869294,0.24936946534136972,0.29529815997660264,0.5887940030884574,0.12769344285355586,0.4177259400471098,0.4844578364540581,False,,,,,,,
lstm,no_explicit_asset_id,7,pooled,isotonic,0.21,completed,21514,3471,0.16133680394161942,0.7759670777832136,0.3912516522819963,0.39243148609521245,0.6851575383643284,0.1255324346114513,0.4115608447566888,0.5289578878869573,False,0.6020493480955872,0.48680914975231154,74.0,,,,
lstm,no_explicit_asset_id,7,equal_asset,isotonic,0.21,completed,21514,3471,0.13288843541753018,0.7586786557470654,0.3511129921852857,0.3378809673833697,0.6737729939617336,0.11316053371660137,0.3837037539096357,0.48810470937091477,False,,,,,,,
lstm,no_explicit_asset_id,7,equal_date,isotonic,0.21,completed,21514,3471,0.2600330538107536,0.7606895751756539,0.45417217450348224,0.518354285714236,0.6736374939170324,0.16806504409340986,0.5075411558948063,0.6699375059783821,False,,,,,,,
lstm,no_explicit_asset_id,7,equal_family,isotonic,0.21,completed,21514,3471,0.1464612135695259,0.740137830470928,0.3404023563893408,0.3503710368046933,0.6628042625886783,0.12306394905960549,0.4081228047121636,0.5238262336599868,False,,,,,,,
lstm,no_explicit_asset_id,42,pooled,isotonic,0.23,completed,21514,3471,0.16133680394161942,0.7534120808396306,0.3735137406192988,0.39348710990502034,0.6813467533056256,0.12900288854595515,0.4179009743327269,0.4895416937807939,False,0.5537708905913786,0.47560450063362164,74.0,,,,
lstm,no_explicit_asset_id,42,equal_asset,isotonic,0.23,completed,21514,3471,0.13288843541753018,0.729211515884322,0.32742633852611425,0.33591515131974586,0.6645193865088757,0.11751515566305054,0.3918818935269958,0.44469929534802155,False,,,,,,,
lstm,no_explicit_asset_id,42,equal_date,isotonic,0.23,completed,21514,3471,0.2600330538107536,0.7499061446838795,0.44437446783679985,0.5199814969873461,0.6756060876630952,0.16836855763544703,0.507281588622692,0.6475278725462063,False,,,,,,,
lstm,no_explicit_asset_id,42,equal_family,isotonic,0.23,completed,21514,3471,0.1464612135695259,0.7226022157697761,0.33127639676795034,0.3515508315427742,0.6590130592668186,0.12638446222084584,0.4137282646066806,0.47800271363117713,False,,,,,,,
lstm,no_explicit_asset_id,123,pooled,isotonic,0.22,completed,21514,3471,0.16133680394161942,0.712551211530865,0.34226022195280814,0.3711392405063291,0.6290689294643022,0.12468834892261985,0.4090000556949204,0.20586594775495026,False,0.5168292121928072,0.4826390518574145,74.0,,,,
lstm,no_explicit_asset_id,123,equal_asset,isotonic,0.22,completed,21514,3471,0.13288843541753018,0.7036457865393773,0.29957299355249434,0.33762007304709213,0.6245303334256511,0.10738353068537713,0.36374711502980156,0.1744391799253898,False,,,,,,,
lstm,no_explicit_asset_id,123,equal_date,isotonic,0.22,completed,21514,3471,0.2600330538107536,0.6984700822513922,0.44639850475820586,0.44135257454908494,0.6158445157106921,0.18213153545598493,0.557923249807647,0.3252930735792707,False,,,,,,,
lstm,no_explicit_asset_id,123,equal_family,isotonic,0.22,completed,21514,3471,0.1464612135695259,0.7105364210559131,0.3105499286267359,0.3520378151031076,0.6275660245442775,0.11681668901215757,0.38964810359608193,0.20685639234820594,False,,,,,,,
lstm,no_explicit_asset_id,ensemble,pooled,isotonic,0.23,completed,21514,3471,0.16133680394161942,0.7778896433474418,0.3939919832493344,0.47347871631273214,0.7321886447741848,0.11738160362125412,0.3811056781178531,0.32676396764897275,False,0.5623591747225333,0.4806948077161034,74.0,0.4806948077161034,0.3920204987284817,0.5595985653676218,1.0
lstm,no_explicit_asset_id,ensemble,equal_asset,isotonic,0.23,completed,21514,3471,0.1328884354175302,0.7635289123542276,0.3524783596895499,0.42421865333850867,0.716239070348372,0.10350753272809445,0.3485872717689563,0.27325102828173325,False,,,,,,,
lstm,no_explicit_asset_id,ensemble,equal_date,isotonic,0.23,completed,21514,3471,0.2600330538107536,0.7590659167800737,0.46664913291878873,0.5639774756590263,0.7200172080143429,0.16430700309030716,0.4913514590258921,0.516641158902741,False,,,,,,,
lstm,no_explicit_asset_id,ensemble,equal_family,isotonic,0.23,completed,21514,3471,0.1464612135695259,0.7622248922184303,0.34808796472548786,0.42258600601920376,0.7098264922023458,0.11331183306344834,0.37212027452004554,0.3318545907632809,False,,,,,,,
