scenario,prior_heterogeneity,dynamic_signal,persistence,replications,global_prior_pooled_roc_auc_mean,global_prior_pooled_roc_auc_std,global_prior_pooled_roc_auc_ci_lower,global_prior_pooled_roc_auc_ci_upper,global_prior_pr_auc_mean,global_prior_pr_auc_std,global_prior_pr_auc_ci_lower,global_prior_pr_auc_ci_upper,global_prior_brier_mean,global_prior_brier_std,global_prior_brier_ci_lower,global_prior_brier_ci_upper,global_prior_log_loss_mean,global_prior_log_loss_std,global_prior_log_loss_ci_lower,global_prior_log_loss_ci_upper,family_prior_pooled_roc_auc_mean,family_prior_pooled_roc_auc_std,family_prior_pooled_roc_auc_ci_lower,family_prior_pooled_roc_auc_ci_upper,family_prior_pr_auc_mean,family_prior_pr_auc_std,family_prior_pr_auc_ci_lower,family_prior_pr_auc_ci_upper,family_prior_brier_mean,family_prior_brier_std,family_prior_brier_ci_lower,family_prior_brier_ci_upper,family_prior_log_loss_mean,family_prior_log_loss_std,family_prior_log_loss_ci_lower,family_prior_log_loss_ci_upper,asset_prior_pooled_roc_auc_mean,asset_prior_pooled_roc_auc_std,asset_prior_pooled_roc_auc_ci_lower,asset_prior_pooled_roc_auc_ci_upper,asset_prior_pr_auc_mean,asset_prior_pr_auc_std,asset_prior_pr_auc_ci_lower,asset_prior_pr_auc_ci_upper,asset_prior_brier_mean,asset_prior_brier_std,asset_prior_brier_ci_lower,asset_prior_brier_ci_upper,asset_prior_log_loss_mean,asset_prior_log_loss_std,asset_prior_log_loss_ci_lower,asset_prior_log_loss_ci_upper,pooled_classifier_pooled_roc_auc_mean,pooled_classifier_pooled_roc_auc_std,pooled_classifier_pooled_roc_auc_ci_lower,pooled_classifier_pooled_roc_auc_ci_upper,pooled_classifier_pr_auc_mean,pooled_classifier_pr_auc_std,pooled_classifier_pr_auc_ci_lower,pooled_classifier_pr_auc_ci_upper,pooled_classifier_brier_mean,pooled_classifier_brier_std,pooled_classifier_brier_ci_lower,pooled_classifier_brier_ci_upper,pooled_classifier_log_loss_mean,pooled_classifier_log_loss_std,pooled_classifier_log_loss_ci_lower,pooled_classifier_log_loss_ci_upper,pooled_classifier_pair_weighted_within_asset_roc_auc_mean,pooled_classifier_pair_weighted_within_asset_roc_auc_std,pooled_classifier_pair_weighted_within_asset_roc_auc_ci_lower,pooled_classifier_pair_weighted_within_asset_roc_auc_ci_upper,pooled_classifier_asset_macro_roc_auc_mean,pooled_classifier_asset_macro_roc_auc_std,pooled_classifier_asset_macro_roc_auc_ci_lower,pooled_classifier_asset_macro_roc_auc_ci_upper,pooled_classifier_eligible_assets_mean,pooled_classifier_eligible_assets_std,pooled_classifier_eligible_assets_ci_lower,pooled_classifier_eligible_assets_ci_upper,train_rows_mean,train_rows_std,train_rows_ci_lower,train_rows_ci_upper,validation_rows_mean,validation_rows_std,validation_rows_ci_lower,validation_rows_ci_upper,train_positives_mean,train_positives_std,train_positives_ci_lower,train_positives_ci_upper,validation_positives_mean,validation_positives_std,validation_positives_ci_lower,validation_positives_ci_upper,train_prevalence_mean,train_prevalence_std,train_prevalence_ci_lower,train_prevalence_ci_upper,validation_prevalence_mean,validation_prevalence_std,validation_prevalence_ci_lower,validation_prevalence_ci_upper,reversal_auc_drop_mean,reversal_auc_drop_std,reversal_auc_drop_ci_lower,reversal_auc_drop_ci_upper,permutation_auc_drop_mean,permutation_auc_drop_std,permutation_auc_drop_ci_lower,permutation_auc_drop_ci_upper,pooled_classifier_pooled_minus_within_auc_mean
common_shock,0.0,0.0,0.0,20,0.5,0.0,0.5,0.5,0.15612499999999993,0.005089800315480167,0.15374290012655456,0.1585070998734453,0.13176653622727966,0.003513877353969912,0.13012199100322902,0.1334110814513303,0.43325165762692874,0.00864061291629561,0.42920772630180437,0.4372955889520531,0.49836235937076384,0.00940403483331776,0.49396113559029636,0.5027635831512313,0.15548665402751302,0.006748227916200162,0.15232838614492628,0.15864492191009977,0.1318298884117523,0.0034865723317261724,0.13019812233147937,0.13346165449202524,0.43349240747491463,0.00853758561465745,0.42949669441121147,0.4374881205386178,0.49605872293390146,0.011980654335803293,0.49045160410640826,0.5016658417613947,0.1550224387868206,0.008033896158243911,0.1512624596450808,0.15878241792856038,0.13214100146035984,0.00350319773441239,0.13050145445211722,0.13378054846860246,0.4346986778377059,0.008648786075429356,0.43065092135636096,0.4387464343190508,0.5817427988046433,0.018834428796202108,0.5729280147913305,0.5905575828179561,0.2011408126304602,0.015524479549335208,0.19387513254919989,0.2084064927117205,0.1303330166253422,0.0034787389004101122,0.12870491670377687,0.1319611165469075,0.4279021431508208,0.008864958900173088,0.4237532146732193,0.4320510716284223,0.5901503336474195,0.01735778344294631,0.5820266409326035,0.5982740263622356,0.5902724649124769,0.016819097714822217,0.5824008848789557,0.598144044945998,30.0,0.0,30.0,30.0,12000.0,0.0,12000.0,12000.0,6000.0,0.0,6000.0,6000.0,1861.15,50.199889913907384,1837.6557283195975,1884.6442716804027,936.75,30.53880189288099,922.4574007593278,951.0425992406722,0.1550958333333333,0.004183324159492276,0.1531379773599664,0.1570536893067002,0.15612499999999993,0.005089800315480167,0.15374290012655456,0.1585070998734453,0.16775204888452738,0.0342649624000954,0.15171555284584587,0.1837885449232089,0.0877139686351759,0.016838049053932574,0.07983351910193015,0.09559441816842165,-0.008407534842776232
common_shock,0.0,1.5,0.7,20,0.5,0.0,0.5,0.5,0.21596666666666664,0.004518836469815618,0.2138517860985372,0.21808154723479609,0.1693312394207142,0.0025586337922888485,0.16813376194517018,0.17052871689625823,0.521773898425441,0.0058020033991623915,0.5190584772485356,0.5244893196023463,0.4974739016494262,0.007565414553674463,0.4939331786477676,0.5010146246510847,0.21553906349924482,0.006746386255926044,0.21238165754019808,0.21869646945829155,0.1693986111640706,0.0025391692084793123,0.1682102433941644,0.17058697893397679,0.5219724843259008,0.005745935332956591,0.5192833038117199,0.5246616648400817,0.49737508627509686,0.008476234613767848,0.4934080863636583,0.5013420861865354,0.215604436417212,0.0065817222314212475,0.2125240955938526,0.2186847772405714,0.1697635376187058,0.002591857279190999,0.1685505110726601,0.17097656416475152,0.5230657758746238,0.005930318133846806,0.5202903015533302,0.5258412501959173,0.795814097585624,0.008484722835172874,0.7918431250642831,0.799785070106965,0.5408536270820885,0.019886716154307777,0.5315463574254887,0.5501608967386883,0.13364976481891408,0.0021374071351865256,0.13264942748726205,0.1346501021505661,0.41914827352556205,0.005815059556405354,0.4164267418789745,0.4218698051721496,0.7971076881665119,0.00813006354728162,0.7933027013012747,0.8009126750317491,0.7966454289039555,0.008148352016638494,0.7928318827715879,0.8004589750363231,30.0,0.0,30.0,30.0,12000.0,0.0,12000.0,12000.0,6000.0,0.0,6000.0,6000.0,2594.1,46.11872550391286,2572.515772058443,2615.684227941557,1295.8,27.113018818893703,1283.1107165912233,1308.4892834087766,0.21617499999999992,0.0038432271253260757,0.2143763143382035,0.21797368566179634,0.21596666666666664,0.004518836469815618,0.2138517860985372,0.21808154723479609,0.5921546134752391,0.017178433399640623,0.5841148591644822,0.600194367785996,0.180512846096791,0.019508706608301056,0.17138249035348663,0.18964320184009537,-0.001293590580887849
common_shock,2.5,0.0,0.0,20,0.5,0.0,0.5,0.5,0.2893833333333333,0.014101667190224683,0.2827835499337691,0.29598311673289757,0.2054909719359943,0.00594738470035799,0.20270751021570535,0.20827443365628326,0.6012335126129024,0.012698420011252279,0.5952904691088653,0.6071765561169394,0.6366160034545892,0.06008583596585304,0.6084949666007858,0.6647370403083926,0.38603027908220455,0.05248476462579512,0.36146665311977383,0.4105939050446353,0.19281480338454188,0.013618091945357442,0.18644134016616354,0.19918826660292022,0.5694191428231672,0.03317525810851419,0.5538926440916833,0.5849456415546511,0.8950264728829371,0.01808666130508079,0.8865616548281217,0.9034912909377526,0.7702844838151263,0.037550649003550145,0.752710239111047,0.7878587285192056,0.11336766602311821,0.012824861741827566,0.10736544596759924,0.11936988607863717,0.356401620804395,0.03161392024884616,0.3416058506845246,0.37119739092426546,0.8998529722293824,0.017265376806950405,0.8917725271514613,0.9079334173073036,0.79397201301618,0.03585315221558117,0.7771922212637218,0.8107518047686383,0.1112139197127106,0.012610908955580931,0.10531183264344873,0.11711600678197245,0.3507246452328671,0.031206674711719076,0.3361194718913224,0.3653298185744118,0.5918599344588628,0.015109868422246028,0.5847882983581422,0.5989315705595833,0.5916477177963728,0.017972024572457734,0.5832365513839298,0.6000588842088158,28.25,1.164157703189193,27.70515742356273,28.79484257643727,12000.0,0.0,12000.0,12000.0,6000.0,0.0,6000.0,6000.0,3493.5,167.5094655612977,3415.1031569056113,3571.8968430943887,1736.3,84.61000314134817,1696.7012996026144,1775.8987003973855,0.29112499999999997,0.013959122130108132,0.28459192974213426,0.29765807025786567,0.2893833333333333,0.014101667190224683,0.2827835499337691,0.29598311673289757,0.01692844808180278,0.0052078279272420105,0.014491109585697529,0.01936578657790803,0.008692515419181444,0.0026474302042658283,0.007453479943593806,0.009931550894769083,0.3079930377705197
common_shock,2.5,1.5,0.7,20,0.5,0.0,0.5,0.5,0.30444999999999994,0.009123278496588576,0.3001801742298154,0.3087198257701845,0.21171098346585443,0.0035741836786918574,0.21003821401303568,0.21338375291867318,0.6144709526066048,0.007554113663527681,0.6109355185843403,0.6180063866288693,0.6200759711494671,0.05043695485625447,0.5964707496607888,0.6436811926381454,0.3885282483844176,0.04415474296006568,0.3678631925673383,0.40919330420149685,0.20121165475134858,0.009763452218715385,0.19664221845659727,0.2057810910460999,0.5891363105350551,0.023278798629593544,0.578241497412257,0.6000311236578532,0.8568461097908786,0.019830502545950465,0.8475651489128269,0.8661270706689304,0.7113324198326281,0.039184987120050904,0.6929932813450652,0.7296715583201909,0.1358514919185168,0.011656131166685455,0.13039625460938778,0.14130672922764584,0.41839176396752975,0.027299457604251048,0.40561522452129045,0.43116830341376905,0.9124013791884524,0.01119676601127571,0.9071611313898625,0.9176416269870423,0.8303133457895322,0.021953439150222576,0.820038819996765,0.8405878715822994,0.1070539081486244,0.008654733223979536,0.10300336831608085,0.11110444798116793,0.33794246624653956,0.022882429930939557,0.3272331593849655,0.3486517731081136,0.7933592123497839,0.0100555006507661,0.7886530931814605,0.7980653315181073,0.7998328217671605,0.016715176887045696,0.7920098781781659,0.8076557653561551,29.25,0.7163503994113789,28.914737693030812,29.585262306969188,12000.0,0.0,12000.0,12000.0,6000.0,0.0,6000.0,6000.0,3679.15,122.94255183878192,3621.6111145774225,3736.6888854225776,1826.7,54.73967097953155,1801.081045378893,1852.3189546211072,0.3065958333333333,0.010245212653231835,0.30180092621478516,0.3113907404518814,0.30444999999999994,0.009123278496588576,0.3001801742298154,0.3087198257701845,0.19484733831435846,0.02564179925046544,0.18284660685861315,0.20684806977010378,0.04551121650053773,0.009007029226402657,0.04129579706353602,0.04972663593753944,0.11904216683866853
core,0.0,0.0,0.0,20,0.5,0.0,0.5,0.5,0.14977499999999996,0.004300236291617318,0.1477624274645133,0.15178757253548664,0.1273541528891993,0.003017611347982138,0.1259418673053674,0.12876643847303118,0.42236471491599437,0.00748929877200742,0.4188596151967119,0.42586981463527684,0.4988356359771159,0.008517064507866151,0.49484952708702673,0.502821744867205,0.14928141508185092,0.005988803821475114,0.1464785686161779,0.15208426154752394,0.12741372514185254,0.0029976030755151906,0.12601080371778275,0.12881664656592232,0.42259739905902266,0.0074140129672224594,0.4191275341809785,0.42606726393706684,0.4991176230460561,0.011852159349770828,0.4935706417231788,0.5046646043689335,0.1494747855629159,0.006554677124005519,0.14640710223945025,0.15254246888638157,0.12766306011402356,0.0030337115348681876,0.12624323941078297,0.12908288081726416,0.4235764646137189,0.007602503554002379,0.4200183834255871,0.4271345458018507,0.49822517736746247,0.012431070353066788,0.4924072573550077,0.5040430973799173,0.15075956222914472,0.006835445475761455,0.1475604752721905,0.15395864918609894,0.12782429599804018,0.0030153162197460175,0.1264130845672874,0.12923550742879297,0.4242358155274054,0.007564947106523963,0.4206953112977475,0.4277763197570633,0.4977251858548355,0.011963103618905525,0.49212628101569345,0.5033240906939775,0.4976097779815059,0.012324327587559277,0.4918418151210897,0.5033777408419221,30.0,0.0,30.0,30.0,12000.0,0.0,12000.0,12000.0,6000.0,0.0,6000.0,6000.0,1795.95,47.18214983611805,1773.8680741508335,1818.0319258491666,898.65,25.80141774970393,886.5745647870799,910.72543521292,0.14966249999999995,0.003931845819676505,0.1478223395125694,0.1515026604874305,0.14977499999999996,0.004300236291617318,0.1477624274645133,0.15178757253548664,-0.0012063046409684051,0.008707131406508181,-0.005281367577805572,0.0028687582958687617,0.0004843748717648106,0.007711789616156282,-0.0031248537678758717,0.004093603511405493,0.0004999915126269738
core,0.0,0.0,0.7,20,0.5,0.0,0.5,0.5,0.14977499999999996,0.004300236291617318,0.1477624274645133,0.15178757253548664,0.1273541528891993,0.003017611347982138,0.1259418673053674,0.12876643847303118,0.42236471491599437,0.00748929877200742,0.4188596151967119,0.42586981463527684,0.4988356359771159,0.008517064507866151,0.49484952708702673,0.502821744867205,0.14928141508185092,0.005988803821475114,0.1464785686161779,0.15208426154752394,0.12741372514185254,0.0029976030755151906,0.12601080371778275,0.12881664656592232,0.42259739905902266,0.0074140129672224594,0.4191275341809785,0.42606726393706684,0.4991176230460561,0.011852159349770828,0.4935706417231788,0.5046646043689335,0.1494747855629159,0.006554677124005519,0.14640710223945025,0.15254246888638157,0.12766306011402356,0.0030337115348681876,0.12624323941078297,0.12908288081726416,0.4235764646137189,0.007602503554002379,0.4200183834255871,0.4271345458018507,0.49752422713349864,0.011969136314406941,0.49192249890595235,0.5031259553610449,0.15029845832837702,0.0072990415875460206,0.14688240171234734,0.1537145149444067,0.127842243250215,0.0030180370842729435,0.1264297584156657,0.12925472808476432,0.4243034976321213,0.00757618834151528,0.4207577323425415,0.42784926292170106,0.4966339614731744,0.01162854212152882,0.4911916362346381,0.5020762867117108,0.49649980791316606,0.012378671042928594,0.49070641153274236,0.5022932042935897,30.0,0.0,30.0,30.0,12000.0,0.0,12000.0,12000.0,6000.0,0.0,6000.0,6000.0,1795.95,47.18214983611805,1773.8680741508335,1818.0319258491666,898.65,25.80141774970393,886.5745647870799,910.72543521292,0.14966249999999995,0.003931845819676505,0.1478223395125694,0.1515026604874305,0.14977499999999996,0.004300236291617318,0.1477624274645133,0.15178757253548664,-0.002614808359669677,0.007377002331709741,-0.006067351727103175,0.0008377350077638204,0.0003114477923147192,0.008562872170065572,-0.0036960997436081685,0.004318995328237607,0.0008902656603242409
core,0.0,0.5,0.0,20,0.5,0.0,0.5,0.5,0.1557416666666666,0.004110134031194849,0.15381806472775064,0.15766526860558258,0.13150210844851412,0.0028277978809531975,0.1301786583017843,0.13282555859524395,0.4326006683686529,0.006940240394195851,0.42935253588015176,0.43584880085715405,0.49647748905331657,0.007904237493042029,0.49277819203480844,0.5001767860718247,0.15430486918926822,0.004755259348943287,0.15207933930769976,0.15653039907083668,0.13156935689173807,0.002827356090505606,0.13024611350930235,0.1328926002741738,0.43285136577853545,0.006943249321204696,0.4296018250688463,0.4361009064882246,0.49585697706625237,0.010391542128512595,0.49099358564518897,0.5007203684873158,0.1543509709391493,0.005292612513900442,0.15187395203504553,0.15682798984325305,0.13189329925826918,0.002878200581316511,0.13054625992164687,0.13324033859489148,0.4340850441007378,0.0071956248476235446,0.43071738800885684,0.4374527001926187,0.5803711254462324,0.012256435133019598,0.5746349372326279,0.5861073136598368,0.20014998429230518,0.010627764230214541,0.19517603752453047,0.2051239310600799,0.13019253901685174,0.0028964118602343254,0.12883697653933657,0.1315481014943669,0.4276783332379644,0.0074629286090680215,0.4241855751348372,0.4311710913410916,0.5882581840372072,0.010939573367691866,0.5831383061010398,0.5933780619733746,0.5892219737709652,0.011158119858274557,0.5839998129287325,0.5944441346131979,30.0,0.0,30.0,30.0,12000.0,0.0,12000.0,12000.0,6000.0,0.0,6000.0,6000.0,1868.4,49.452156570504435,1845.2556782964705,1891.5443217035297,934.45,24.660804187169052,922.9083883665043,945.9916116334958,0.15569999999999995,0.004121013047542039,0.15377130652470583,0.15762869347529407,0.1557416666666666,0.004110134031194849,0.15381806472775064,0.15766526860558258,0.16451151436392047,0.020490764262533663,0.15492154149050028,0.17410148723734067,0.08101643068726393,0.014191450287109147,0.07437462750490474,0.08765823386962311,-0.007887058590974827
core,0.0,0.5,0.7,20,0.5,0.0,0.5,0.5,0.15864999999999993,0.0046966144332383705,0.15645191678384465,0.1608480832161552,0.1334960862139633,0.0031861252121867635,0.13200493371400218,0.13498723871392443,0.4374834920139012,0.007761494402278052,0.4338510008182875,0.4411159832095149,0.4995901491074287,0.008492558609329582,0.49561550933089693,0.5035647888839605,0.15852657033504738,0.005759477773272874,0.15583105176370035,0.16122208890639442,0.1335432344056888,0.0031785322395958765,0.13205563552628777,0.13503083328508983,0.43765869887635506,0.007736733698262567,0.4340377960469337,0.4412796017057764,0.4956644392643616,0.007811114033642983,0.49200872536642787,0.49932015316229533,0.15760313381460433,0.006088596797044424,0.15475358279870535,0.16045268483050332,0.13388461878006316,0.0031800741267903514,0.13239629827524202,0.1353729392848843,0.43894125639639403,0.0077923324295124715,0.43529433255976907,0.442588180233019,0.6051678718217987,0.009934987346485255,0.600518154616044,0.6098175890275533,0.22235996912041203,0.010598733042007365,0.21739960936695377,0.2273203288738703,0.13102030670903803,0.003129698115795533,0.12955556290310044,0.1324850505149756,0.4284610533342583,0.007973312240162412,0.42472942833897803,0.4321926783295386,0.6111194103652894,0.009743332973267425,0.606559390167254,0.6156794305633247,0.6115724113813016,0.009763617340828982,0.6070028978070223,0.6161419249555808,30.0,0.0,30.0,30.0,12000.0,0.0,12000.0,12000.0,6000.0,0.0,6000.0,6000.0,1908.0,43.54429082162086,1887.6206445781427,1928.3793554218573,951.9,28.179686599430187,938.7115007030683,965.0884992969317,0.15899999999999997,0.0036286909018017482,0.15730172038151186,0.1606982796184881,0.15864999999999993,0.0046966144332383705,0.15645191678384465,0.1608480832161552,0.2137719472964629,0.019796152305502218,0.20450706282580494,0.22303683176712086,0.06919419662434799,0.020180798214607793,0.05974929232685815,0.07863910092183783,-0.005951538543490731
core,0.0,1.0,0.0,20,0.5,0.0,0.5,0.5,0.17119999999999996,0.004499057731107284,0.16909437616652684,0.1733056238334731,0.14190227346132936,0.00296375142551739,0.14051519509713964,0.14328935182551908,0.4578251063138974,0.007114877006261163,0.4544952413750613,0.46115497125273347,0.4994845400510142,0.00898271792763626,0.49528049865207396,0.5036885814499544,0.17098056216546018,0.004974664078002841,0.16865234770985518,0.17330877662106517,0.14195744901498725,0.002975146080653945,0.14056503778803744,0.14334986024193705,0.45801813755086185,0.007158505056178885,0.4546678540561403,0.4613684210455834,0.4989942753054956,0.008519039346647505,0.49500724216240644,0.5029813084485848,0.1713366826739363,0.004947485051985658,0.16902118839405983,0.1736521769538128,0.14228661914309051,0.0030405830112532357,0.14086358248990835,0.14370965579627268,0.4592084055167587,0.00743854268915147,0.45572706037546623,0.4626897506580511,0.6675626606205456,0.00797336518746248,0.663831010845166,0.6712943103959251,0.29471581246022316,0.008630959019190743,0.29067639929802197,0.29875522562242435,0.13434471939509446,0.003004224258015815,0.13293869916222686,0.13575073962796205,0.432162049295838,0.007715458715747915,0.42855110346472985,0.43577299512694617,0.671811366784637,0.007864922563184886,0.6681304697196895,0.6754922638495846,0.6722329271540873,0.007936807375895163,0.6685183869611885,0.6759474673469862,30.0,0.0,30.0,30.0,12000.0,0.0,12000.0,12000.0,6000.0,0.0,6000.0,6000.0,2047.05,39.63580916823892,2028.4998702991534,2065.6001297008465,1027.2,26.994346386643727,1014.5662569991613,1039.833743000839,0.1705875,0.0033029840973532376,0.1690416558582628,0.1721333441417372,0.17119999999999996,0.004499057731107284,0.16909437616652684,0.1733056238334731,0.3354479047445195,0.016041187457195193,0.32794039791846963,0.3429554115705694,0.16704518248881564,0.012327878335224085,0.16127555782733877,0.17281480715029252,-0.004248706164091454
core,0.0,1.0,0.7,20,0.5,0.0,0.5,0.5,0.1813083333333333,0.004937407930890797,0.17899755529130443,0.18361911137536216,0.1484617195276559,0.003129830791940948,0.14699691362737088,0.14992652542794094,0.4734593296505024,0.007386723430002753,0.4700022366690216,0.47691642263198325,0.4978138303639092,0.008491559333102104,0.4938396582630479,0.5017880024647705,0.1804682796453588,0.005469961868867103,0.17790825868816137,0.18302830060255623,0.14852969108451805,0.003131361908180078,0.1470641685997752,0.1499952135692609,0.4736855551397806,0.007397136560221318,0.4702235886633415,0.4771475216162197,0.49669319738768375,0.009071959830824379,0.49244738949239514,0.5009390052829724,0.18034459840471678,0.005481622632275188,0.17777912004225452,0.18291007676717905,0.14888623796440675,0.0031885736172499947,0.1473939395756033,0.15037853635321022,0.4748839623099966,0.007634134832197333,0.4713110772279761,0.47845684739201705,0.712469783746507,0.007855086615043383,0.7087934900469904,0.7161460774460237,0.3622350079244478,0.011717756878392537,0.356750928894434,0.3677190869544616,0.13475539070871925,0.0029353459961965244,0.13338160649467226,0.13612917492276624,0.42940239838986927,0.007567064138051541,0.4258609033589576,0.43294389342078093,0.7152643687329541,0.00795196492090825,0.7115427345906232,0.7189860028752849,0.7155414940266013,0.00798552569555115,0.7118041529582468,0.7192788350949557,30.0,0.0,30.0,30.0,12000.0,0.0,12000.0,12000.0,6000.0,0.0,6000.0,6000.0,2183.2,44.79379656298755,2162.2358578902786,2204.164142109721,1087.85,29.62444758534481,1073.9853317478266,1101.7146682521732,0.1819333333333333,0.0037328163802489685,0.18018632149085653,0.18368034517581008,0.1813083333333333,0.004937407930890797,0.17899755529130443,0.18361911137536216,0.4255349259871495,0.015685089042557394,0.4181940783492534,0.4328757736250456,0.12602179209405515,0.02217827184950747,0.1156420413589883,0.136401542829122,-0.002794584986447024
