model,identity_variant,seed,aggregation,calibration_method,threshold,status,n_obs,positives,prevalence,roc_auc,pr_auc,f1,balanced_accuracy,brier_score,log_loss,prediction_positive_rate,degenerate_prediction,per_asset_macro_roc_auc,pair_weighted_within_asset_roc_auc,eligible_assets,within_asset_estimate,within_asset_ci_lower,within_asset_ci_upper,within_asset_valid_draw_fraction,probe_balanced_accuracy,probe_balanced_accuracy_std,family_probe_balanced_accuracy,family_probe_balanced_accuracy_std,mean_registered_within_auc_drop,id_swap_auc_change,id_swap_prediction_spearman,strict_temporal_gate_pass,study_b_eligible,evidence_class
mlp,asset_conditioned,ensemble,pooled,isotonic,0.24,completed,21514,3471,0.1613368039416194,0.7964776612507657,0.4062604603686256,0.4963620053822386,0.7458447123650784,0.1128915488944078,0.3653294341645679,0.305010690713024,False,0.6082100146334711,0.5569669222487239,74.0,0.5569669222487239,0.5048314893963152,0.6008237040102657,1.0,0.17325949367088603,0.02093087598226392,0.334040272516835,0.09828339180275472,0.04358856930464707,-0.21533789504280718,0.17627129886059742,False,False,descriptive_cross_model_diagnostic
mlp,no_explicit_asset_id,ensemble,pooled,isotonic,0.15,completed,21514,3471,0.1613368039416194,0.5249794845703994,0.1703450142836751,0.2808129011025176,0.5087985257791844,0.1357525150212437,0.4439979794660551,0.9685321186204332,True,0.6224788387179576,0.5446863252932367,74.0,0.5446863252932367,0.4768432044434716,0.6048465883982393,1.0,0.014603111814345968,0.001797376830197212,0.16804108796296294,0.002676260233461461,0.023278779767534567,-0.21533789504280718,0.17627129886059742,False,False,descriptive_cross_model_diagnostic
lstm,asset_conditioned,ensemble,pooled,isotonic,0.19,completed,21514,3471,0.1613368039416194,0.6928695962443059,0.3113218279138799,0.3442976156276932,0.6220450703785458,0.1286198500587207,0.4183067895228495,0.4858696662638282,False,0.5733968521377139,0.5183437372440091,74.0,0.5183437372440091,0.4599873338215332,0.5741687451367772,1.0,0.056401635021097,0.01343275356838168,0.27844842151482774,0.030471185046161146,0.008499490115929266,-0.07232509729696533,0.4441614792646941,False,False,descriptive_cross_model_diagnostic
lstm,no_explicit_asset_id,ensemble,pooled,isotonic,0.23,completed,21514,3471,0.1613368039416194,0.7778896433474418,0.3939919832493344,0.4734787163127321,0.7321886447741848,0.1173816036212541,0.3811056781178531,0.3267639676489727,False,0.5623591747225333,0.4806948077161034,74.0,0.4806948077161034,0.3920204987284817,0.5595985653676218,1.0,0.016580959915611735,0.005023435674210864,0.19948015309343428,0.02966985021282988,0.03702787129208083,-0.07232509729696533,0.4441614792646941,False,False,descriptive_cross_model_diagnostic
tcn,asset_conditioned,ensemble,pooled,isotonic,0.23,completed,21514,3471,0.1613368039416194,0.7758812365600644,0.3819701306002155,0.4498094027954257,0.7164876607313433,0.1216877883991671,0.3869369011559869,0.3507948312726596,False,0.5776566751388287,0.5474533530744516,74.0,0.5474533530744516,0.4921661452227869,0.5990244308095809,1.0,0.08280590717299573,0.05369541907016152,0.31570664578477076,0.05673147527988418,0.031155315286613635,-0.2001840902500812,0.28071330595041727,False,False,descriptive_cross_model_diagnostic
tcn,no_explicit_asset_id,ensemble,pooled,isotonic,0.21,completed,21514,3471,0.1613368039416194,0.7326212759164129,0.3645965288738479,0.4233342253144233,0.6931042864038759,0.1271803638523348,0.4329330560069828,0.3597657339406898,False,0.4982519156316431,0.4710105660495434,74.0,0.4710105660495434,0.402088673278164,0.5322095149246656,1.0,0.015855748945147633,0.0031973511743096177,0.2157574594098031,0.04293458965037557,-0.0012248121772926999,-0.2001840902500812,0.28071330595041727,False,False,descriptive_cross_model_diagnostic
transformer_encoder,asset_conditioned,ensemble,pooled,isotonic,0.23,completed,21514,3471,0.1613368039416194,0.7898135576855014,0.4210563424653586,0.5114204916249728,0.7452197687802146,0.1109195470921754,0.3605480876896458,0.2660128288556289,False,0.5387429250648953,0.4916384701486699,74.0,0.4916384701486699,0.4295053421007465,0.5532393250629162,1.0,0.16666666666666663,0.08969940915871892,0.332265968984719,0.10752435988946706,-0.0061781071756878666,-0.14028578740312928,0.49059536625663086,False,False,descriptive_cross_model_diagnostic
transformer_encoder,no_explicit_asset_id,ensemble,pooled,isotonic,0.26,completed,21514,3471,0.1613368039416194,0.7154766551871594,0.3628548151425018,0.440045766590389,0.6842865677024027,0.1240785818517479,0.4062462441204096,0.2449102909733197,False,0.5356241301992244,0.4725700859478225,74.0,0.4725700859478225,0.4050144148221287,0.5320433085637457,1.0,0.02745912447257377,0.006444214392234686,0.23384435298497794,0.07266448040933592,-0.004809171560463266,-0.14028578740312928,0.49059536625663086,False,False,descriptive_cross_model_diagnostic
flattened_logistic,asset_conditioned,ensemble,pooled,isotonic,0.15,completed,21514,3471,0.1613368039416194,0.5762199724774772,0.187533522371681,0.3075968350830015,0.5711491369420274,0.1346852173770578,0.4565919650046925,0.7374732732174398,False,0.5201078875358379,0.5121710821062693,74.0,0.5121710821062693,0.4788832439271261,0.5442425231925806,1.0,,,,,-0.0014929102172613,-0.0993118150442693,0.9255441208528777,False,False,descriptive_cross_model_diagnostic
flattened_logistic,no_explicit_asset_id,ensemble,pooled,platt,0.15,completed,21514,3471,0.1613368039416194,0.3986909500884543,0.1281892055800191,0.2870319129311935,0.5630000728277194,0.1354370167862052,0.4408524637557278,0.3426141117411918,False,0.5513032988203461,0.5321141628300913,74.0,0.5321141628300913,0.4838834926407085,0.5840529695403347,1.0,,,,,-0.012213750229341134,-0.0993118150442693,0.9255441208528777,False,False,descriptive_cross_model_diagnostic
